Position,Location,Organization,Websites,Description,Goal,Benefits,Qualifications,Time,Training,Interest
Grant Writer - Fund Development Committee,  M/B/C/V,  Volunteer MBC,https://www.volunteermbc.org/report.php?ListType=VolunteerPositionsAll&ID=2413&MenuItemID=1,"
Description● Research and understand the not-for-profit funding/grant community/stakeholders (their objectives/expectations/resources/opportunities)● Gain a comprehensive knowledge and understanding of Volunteer MBC's vision, mission, strategic goals, capacities, programs, needs, and potentialities● Attend regular fund development and events committees meetings (evening commitment)● Create compelling, persuasive grant application content that is attractive to targeted funders, relevant and matched to Volunteer MBC's purpose and goals● Work collaboratively with the appropriate committees, staff, and Executive Director to ensure that submissions/applications are complete, in compliance with funding parameters, persuasively attractive, and which 'stand apart' in terms of quality● Solicitation of donations from community stakeholders (individuals, businesses, levels of government), with input and support of Volunteer MBC staff and leadership● Record and analyze donor activity/trends as part of continuous evaluation and strategic planning
","
GoalVolunteer MBC is in its 10th year serving Mississauga, Brampton, and Caledon in matching volunteers to suitable, worthwhile volunteering opportunities. At this time, we are in need of a 'Grant Writer', who will join our Fund Development Committee.We seek an excellent communicator, who will be able to use imagination, resourcefulness, and the creative skills necessary to strategize and write content that both attracts funding and sets us apart in the important programs and undertakings with which we outreach into our communities, inclusively and with a commitment to diversity.
","
Benefits> Assume an important role in a high-profile community service organization> Opportunity to learn from seasoned volunteer management professionals > Add to your knowledge of the local volunteering sector > 'Network' with like-minded volunteers and community service organization stakeholders> Enhance your established communication skills/experience (add to your resume)> Learn/use/augment: strategic thinking, resource management, team dynamics (collaboration)> AODA Training provided> Access to Volunteer MBC 'Learning Centre' workshops> Hours confirmation letter and/or 'Achieve Certificate' upon successful completion of volunteer engagement
","
Position Qualifications● Outstanding written/oral English communication skills (writing/editing)● Proven experience in writing proposals, submissions, and related narratives● Previous granting writing experience is an asset● Capacity to conduct effective, organized research online (and in the community) to determine availability of relevant grant (donor) opportunities● Commitment to understanding Volunteer MBC's vision and mission, and its application in fund development● Willingness to travel locally and be a funding advocate for Volunteer MBC in the communities that we serve● Adherence to Volunteer MBC's policies (including confidentiality)● Highly organized, with attention to detail● Ability to comply with and meet strict deadlinesApplicants for this opportunity should submit a resume, and may expect to attend an interview. At least 2 References are required, and availability of a 'writing portfolio' will be very helpful.Min Age: 21    Police Check: No
","
Time Commitment Duration:Medium Term (4 - 6 months) AnytimeA specific time schedule will be formulated, having regard to committee meetings, fundraising event dates, and grant application opportunities and deadlines.The 'Grant Writer' should anticipate combining volunteering time mainly between the office and being online at home.
","
TrainingOrientation to Volunteer MBC that relates to the 'position' will be provided.Ongoing support in the course of collaboration.AODA and Health & Safety training.
","
Area(s) of Interest: Communication/Journalism, Culture & Heritage, Education & Learning, Fundraising, Finance, Marketing/Promotion, Literacy, Research/Evaluation
"
Tidy Team Volunteer,  Caledon,  Services & Housing In the Province (SHIP),https://www.volunteermbc.org/report.php?ListType=VolunteerPositionsAll&ID=2412&MenuItemID=1,"
DescriptionOnce a week, the tidy team volunteer would come to our Program Room.  Wipe down tables, chairs, sweep, mop floor and return any dirty dishes to the house.Interested, aspiring volunteers: Please 'click on' 'Apply Now!', below to access the volunteer application form (Complete it, then follow the instructions on the form to send it to Susan Morling at SHIP). Thank you.
","
Goal'Peace Ranch' is a community mental health agency offering supportive housing and social recreational rehabilitation programs to individuals with serious mental illness as well as those who are dealing with co-occurring addiction challenges.Located on a beautiful 25 acre (10 hectare) farm in Caledon, Peace Ranch provides a unique rural setting for whole health and healing. Our residence offers full time supportive housing for up to 10 individuals.For other individuals who wish to come and participate in a variety of activities, day programming is offered through 'Green Spaces' and includes social and recreational programming, nutritional education and information through Rosie's Kitchen as well as a variety of activities in art, music, animal assisted therapies, and horticulture, etc.The 'Tidy Team Volunteer assists our day program staff keep the program room tidy.
","
Benefits> This is an ideal volunteer job for a high school student looking for their '40 hours'  > You will get to know our residents, day program participants, staff, and other volunteers  > There is the prospect of other volunteer opportunities, once we get to know you> By volunteering your time, you help SHIP help particularly vulnerable residents in your community!
","
Position Qualifications● Commitment (we need you to come when you say you can)● Your own transportation● Ability to work a mop and bucket● Attention to detail ● An understanding or willingness to learn about mental health recovery*** Given the vulnerability of Peace Ranch residents and program attendees, a satisfactory 'Police Check' is required.Min Age: 16    Police Check: Yes
","
Time Commitment Duration:Any DurationStart Date:2019-11-04 Monday Morning, Monday Afternoon, Tuesday Morning, Tuesday Afternoon, Wednesday Afternoon, Thursday Afternoon, Friday MorningIf you are a high school STUDENT, after school would be available.  If you are an ADULT looking to help, Mondays, Tuesdays, and Fridays are the best for mornings. Any day after 3:00pm during the week, otherwise.
","
TrainingIt would be best if you could come after school around 3:30 - 4:00pm. Staff will be on site to show you the required tasks.
","
Area(s) of Interest: Education & Learning, Construction/Renovation/Repair, Counselling & Mental Health, Healthcare, Life Skills & Accessibility
"
Senior Coordinator - Promoting Volunteerism,  M/B/C/V,  Elder Help-Peel,https://www.volunteermbc.org/report.php?ListType=VolunteerPositionsAll&ID=2526&MenuItemID=1,"
DescriptionDevelopment:● Recruit, orient, and establish a seniors' steering committee/program planning group● Put in place a planning framework (objectives, milestones, deadlines), with a meeting schedule and outline of specific tasks● Receive, report, evaluate, then implement recommendations of a 'Seniors Program Advisory Group'Implementation (incl. general and specific objectives):● Overall objective is to promote volunteerism among seniors and other generations who will support this initiative● More specifically, establish a network whereby seniors mentor seniors to further volunteer engagement in the community● Equip and train seniors participating in this program with the means to:- engage their contemporaries in volunteering- empower seniors to share their knowledge, skills, and experience, and to apply these valuable resources in a worthwhile fashion within the community- support/enhance social participation and inclusion of seniors in the community (promote health and wellness)- promote respect for diversity- expand awareness through education that is meant to curb elder abuse (physical, emotional, financial)- bring seniors very much into the 'volunteering conversation'
","
GoalElder Help - Peel (EHP),  a not-for-profit organization serving diverse seniors who are residents of Peel region (Brampton, Bramalea, and neighbouring vicinities), seeks a dynamic 'Senior Coordinator', who will energize seniors to volunteer in Peel region through EHP in a variety of 'roles'.  The suitable applicant will serve our organization in this extremely important capacity. Please see the 'Position Description', above.This initiative and new 'volunteer position' is designed to promote positive aging by supporting seniors' volunteerism and encouraging seniors to play an active role in their communities. This innovative program enhances seniors' social well-being and enables them to maintain social ties and share their knowledge, skills and experience with others.A rare opportunity for a leader among older adults who has the vision and commitment to make a real, lasting difference in the community!
","
Benefits> Unique opportunity to assume an important leadership role that will help develop and shape a groundbreaking initiative> Be part of a high-profile community service organization in Peel region, on the 'leading edge'> Use your talent/skills/experience to make a significant impact> Personal satisfaction that comes from providing a key contribution towards a project/program from inception to consummation, plus leave a legacy of volunteering excellence
","
Position Qualifications● You have past leadership experience in the volunteer sector● You are an 'older adult' - 55+● The nature/scope of this leadership 'role' requires a commitment of at least 6 months● Excellent oral/written English (fluency in another language welcome)● Computer literate (fundamentals, basic software/applications, Internet) ● Past experience in program/project planning, implementation, and evaluation is a requirement● Ready and able to inform yourself about EHP's overall mission and specific program goals, and to motivate others to join in● Clearly committed to 'diversity and inclusiveness' within your community● Able to lead a team collaboratively, plus volunteer independently● Organized, with attention to detail (incl. planning/supervision/deadlines)● Result-oriented, committed to positive outcomesMin Age: 55    Police Check: No
","
Time Commitment Duration:Long Term (More than 6 months)Start Date:2019-06-10 AnytimeFLEXIBLE, subject to staff and volunteer individual/team meetings, events, and outreaches.The successful applicant may also arrange to volunteer from home, in part.
","
TrainingOrientation to Elder Help-Peel and program general goals/parameters will be provided during the screening process.
","
Area(s) of Interest: Communication/Journalism, Education & Learning, Fundraising, Boards & Committees, Event Planning, Life Skills & Accessibility, Program Coordination, Research/Evaluation, Senior Support, Volunteer Coordination
"
Special Events Committee Member,  M/B/C/V,  The Dream Never Dies Foundation,https://www.volunteermbc.org/report.php?ListType=VolunteerPositionsAll&ID=2656&MenuItemID=1,"
DescriptionMembership on our Special Events Committee includes the following:- Attendance at regular meetings- Participating in, and leading, sub-committees- Planning special events and fundraising activities, with direct participation in events and support of staff- Your solicitation of sponsorships, donations, and other sources of financial support- Involvement in creation of promotional material, media campaigns, and communications associated with fundraising and enhancing The Foundation's image/visibility- Ongoing collaboration in formulating fund development monetary goals and formulation/evaluation of fund development strategies and opportunities- Observance of fundraising policies and procedures, as determined by the Board of Directors
","
GoalThe Dream Never Dies Foundation in Memory of Lloyd Christopher Skeen is dedicated to fulfilling his dream of increasing financial support for deserving students, particularly in the field of aviation. By awarding scholarships to post-secondary students, the Foundation aims to create opportunities for dreamers in pursuit of their passion. The Foundation has awarded scholarships since 2010 to deserving recipients principally within Peel region. We remain forever grateful for the support of our sponsors who make these awards possible.For the Foundation, our mission never ends, and it includes planning and delivery of special events (including our annual Dinner). These events add valuable dollars to the Foundation's funding of scholarships.We're at a stage where we need dedicated, energized volunteers to help organize and executive The Dream Never Dies Foundation special events and fundraising activities. Joining our team will afford these volunteers a unique opportunity to pursue The Dream by way of imaginative event planning and superb delivery of more than our annual Dinner. You will help us create and realize vital fundraising to support our cause!
","
Benefits+ Utilize and hone skills you have in fundraising and special event planning/execution+ Be part of a committed, energetic team, helping plan fun, entertaining events that are enjoyed by the community and raise much needed funds for the the Foundation+ Excellent opportunity to network in The Dream Never Dies community, thereby building your professional and personal relationships, and your 'connectivity'+ Raise your personal profile (add to your resume)+ Enjoy a key volunteering role, building our programs that provide extremely valuable support to youth, enabling pursuit of post- secondary education in Ontario
","
Position Qualifications● In order to promote continuity and consistency in this key role, we request a commitment of at least 6 months our volunteers● solid oral/written English● Friendly, engaging, confident and committed to engage with the community, reaching out directly for financial support● Prior involvement in 'event planning' is welcome, and an asset● Ability to volunteer as part of a team, plus undertake and complete tasks/projects independently● Organized, ready to plan creatively, with attention to detail, plus ability to consistently meet deadlinesMin Age: 19    Police Check: Yes
","
Time Commitment Duration:Long Term (More than 6 months)Start Date:2019-10-14 AnytimeFLEXIBLE, subject to:> Regular committee/sub-committee meetings> Adherence to project stages and deadlines> Timelines of fundraising campaigns> Attendance at/support of events
","
TrainingGeneral Orientation to The Dream Never Dies Foundation, including policies and procedures.
","
Area(s) of Interest: Communication/Journalism, Fundraising, Office Administration, Seasonal/Special Event, Boards & Committees, Event Planning, Social Media, Marketing/Promotion, Program Coordination, Volunteer Coordination
"
Homework Club Helper (French),  Mississauga,  Polycultural Immigrant & Community Services,https://www.volunteermbc.org/report.php?ListType=VolunteerPositionsAll&ID=2647&MenuItemID=1,"
Description● Provide individual and small group support to Homework Club students● Understand, evaluate, then respond to academic needs of student participants● Use various techniques to help students comprehend and apply basic concepts of French● Will be involved with a culturally diverse Homework Club 'membership'● Will track the progress of participants (recording individual performance)● Engage in related tasks as are requested for successful administration of the Club program● Typical weekly commitment is 2-4 hours (see 'Time Commitment', below)PLEASE APPLY AT THE EARLIEST OPPORTUNITY ('School year' is already well underway). Create a 'volunteer profile' with Volunteer MBC, THEN click the yellow box 'Apply Now!' (above/below) to gain immediate access to  the PICS VOLUNTEER/PLACEMENT STUDENT APPLICATION FORM. Fill in the fields, then 'save' it and email the file (form) to [email protected], noting the (French) 'Homework Club Helper' position in the subject line. Thank you!
","
GoalPolycultural Immigrant & Community Services (PICS) is a dynamic and diverse organization that serves communities in more than 40 languages through our 6 locations across Metro Toronto and Peel Region, including a facility in the Sheridan Mall complex in Mississauga. Our mandate is to provide initiatives, activities and services that respond to the varying needs of our clients, in order that they enjoy an equal opportunity to be productive members of the Canadian society. The 'Homework Club Helper' volunteering role involves providing assistance to the Homework Club participants who require additional support in French.
","
BenefitsUse/enhance your training/skills/experience in teaching (add to your resume, or explore a career path)> Exposure to diversity in your community with its benefits and inclusiveness> Develop/add to your communication skills in a cross-cultural environment> Volunteer with like-minded contributors, adding to connections in your community> Personal satisfaction that your important role will be significant in terms of helping children, their families, and in fulfilling the mission of Polycultural Immigrant & Community Services> Secondary school students will be eligible to earn community service towards their '40 hour mandatory volunteering' graduation requirement
","
Position Qualifications● Excellent oral/written English and French (fluency in other languages welcome)● Friendly, engaging, especially with children (sensitive, listening, patient)● Prior teaching/tutoring experience is an asset (but not required)● Familiarity with the Ontario curriculum for a particular grade level is an asset (conversant with concepts in the curriculum that are being taught)● Familiar with teaching techniques and good study habits (or prepared to learn these independently and prepare for Homework Club sessions outside the teaching/tutoring hours)● Facility in explaining relevant concepts so as to permit students to understand● Punctual, responsible, prepared, reliable, a role model for youth● Minimum 3 month commitment (a longer commitment would be helpful in order to promote continuity and consistency in the program)*** Due to the nature of the role, a satisfactory 'vulnerable sector' Police Check will be requiredMin Age: 15    Police Check: Yes
","
Time Commitment Duration:Medium Term (4 - 6 months)Start Date:2019-09-25 Monday Evening, Thursday EveningWEEKLY:Monday - 5pm to 6:30pmThursday - 4:30pm to 6:30pmTotal weekly commitment = 2 - 4 hours
","
TrainingTraining for this volunteering role will be provided to successful applicants, including program parameters and expectations.
","
Area(s) of Interest: Education & Learning, Youth Programs, Settlement & Integration, Youth Mentorship
"
Volunteer - Swimming Program Assistant,  Caledon,  Caledon Special Olympics,https://www.volunteermbc.org/report.php?ListType=VolunteerPositionsAll&ID=2352&MenuItemID=1,"
Description● Volunteers will 'coach' one-on-one or in small groups● Basic swimming skills will be taught, with advanced techniques as needed depending upon ability and desire to learn● Teaching and observance of safety in the water● Ongoing supervision of pool activitiesPLEASE APPLY AT THE EARLIEST OPPORTUNITY. Our program is set to begin. Thank you!
","
GoalThe Special Olympics would not exist, and could not have been created, without the time, energy, commitment, and enthusiasm of people just like you, individuals who choose to take a little time from busy schedules to make the world a better place as a SUPPORTIVE VOLUNTEER. More than 400 Special Olympic coaches and other volunteers in support across the province make our programs possible and make a huge difference in the lives of our athletes.As a 'Volunteer - Swimming Program Assistant', you will enjoy the personal challenge and the satisfaction of enriching our athletes' lives through teaching swimming and safety in the water (by 'in the pool' instruction/assistance) from basic to more advanced techniques, etc.
","
Benefits> Excellent opportunity to help with an important recreational/athletic program> Enhance your teaching (one-on-one/group) skills/experience in a basic area of recreation> Further your learning and involvement with individuals with special needs> Join in with like-minded, caring volunteers and staff> By your example, promote diversity and inclusiveness in your community> Personal satisfaction that you made a difference in your community
","
Position Qualifications● You are a competent, confident swimmer, comfortable 'in the water'● Solid oral communication skills● Friendly, thoughtful, patient with individuals with special needs● Comfortable teaching people swimming through involvement in the water by means of demonstrations and physical assistance, when required● Experience in teaching swimming is a definite asset, but NOT REQUIRED.● Lifeguard and/or Red Cross training/certification is welcome (but not required)● Appropriate swimming attire● Ability to travel to/from the 'Mayfield Recreation Complex' (see 'Map', below)● 'Vulnerable sector' Police Check required (a report within 12 months prior to date of application will be considered)Min Age: 16    Police Check: Yes
","
Time Commitment Duration:Medium Term (4 - 6 months)Start Date:2019-10-01 Sunday AfternoonWeekly: SUNDAY AFTERNOON - 4:00pm to 5:00pmWe request an overall volunteering commitment into at least early 2020.
","
TrainingOrientation about Caledon Special Olympics and this program will be provided.Specific training to benefit participants and any particular needs.
","
Area(s) of Interest: Education & Learning, Sports & Recreation, Life Skills & Accessibility
"
Homework Club Helper (Math/Eng/Fr/Science),  Mississauga,  Polycultural Immigrant & Community Services,https://www.volunteermbc.org/report.php?ListType=VolunteerPositionsAll&ID=2377&MenuItemID=1,"
Description● Provide individual and small group support to Homework Club students● Understand, evaluate, then respond to academic needs of student participants● Use various techniques to help students comprehend and apply basic concepts of Math, English, French, Science (a suitable volunteer applicant needs to be proficient in one of these subjects, at least)● Will be involved with a culturally diverse Homework Club 'membership'● Will track the progress of participants (recording individual performance)● Engage in related tasks as are requested for successful administration of the Club program● Typical weekly commitment is 2-4 hours (see 'Time Commitment', below)PLEASE APPLY AT THE EARLIEST OPPORTUNITY ('School year' is already well underway)
","
GoalPolycultural Immigrant & Community Services is a dynamic and diverse organization that serves communities in more than 40 languages through our 6 locations across Metro Toronto and Peel Region, including a facility in the Sheridan Mall complex in Mississauga. Our mandate is to provide initiatives, activities and services that respond to the varying needs of our clients, in order that they enjoy an equal opportunity to be productive members of the Canadian society. The 'Homework Club Helper' volunteering role involves providing assistance to the Homework Club participants who require additional support in different subjects (English, Math, French, and the Sciences).
","
Benefits> Use/enhance your training/skills/experience in teaching (add to your resume, or explore a career path)> Exposure to diversity in your community with its benefits and inclusiveness> Develop/add to your communication skills in a cross-cultural environment> Volunteer with like-minded contributors, adding to connections in your community> Personal satisfaction that your important role will be significant in terms of helping children, their families, and in fulfilling the mission of Polycultural Immigrant & Community Services> Secondary school students will be eligible to earn community service towards their '40 hour mandatory volunteering' graduation requirement
","
Position Qualifications● Excellent oral/written English (fluency in other languages welcome)● Friendly, engaging, especially with children (sensitive, listening, patient)● Prior teaching/tutoring experience is an asset (but not required)● Familiarity with the Ontario curriculum for a particular grade level is an asset (conversant with concepts in the curriculum that are being taught)● Familiar with teaching techniques and good study habits (or prepared to learn these independently and prepare for Homework Club sessions outside the teaching/tutoring hours)● Facility in explaining relevant concepts so as to permit students to understand● Punctual, responsible, prepared, reliable, a role model for youth● Minimum 3 month commitment (a longer commitment would be helpful in order to promote continuity and consistency in the program)*** Due to the nature of the role, a satisfactory 'vulnerable sector' Police Check will be requiredMin Age: 16    Police Check: Yes
","
Time Commitment Duration:Medium Term (4 - 6 months)Start Date:2019-09-09 Monday Evening, Thursday Afternoon, Thursday EveningWEEKLY:Monday - 5pm to 6:30pmThursday - 4:30pm to 6:30pmTotal weekly commitment = 2 - 4 hours 
","
TrainingTraining for this volunteering role will be provided to successful applicants, including program parameters and expectations.
","
Area(s) of Interest: Culture & Heritage, Education & Learning, Settlement & Integration, Literacy, Youth Mentorship, Multilingual
"
Volunteer Visitor,  Caledon,  Caledon Meals on Wheels  Volunteer Opportunities,https://www.volunteermbc.org/report.php?ListType=VolunteerPositionsAll&ID=879&MenuItemID=1,"
DescriptionCaledon Meals on Wheels needs Volunteer Visitors to visit seniors in Bolton, Caledon, and Orangeville areas:- Volunteers will visit with a client in client's home on a weekly basis - Volunteers are asked to commit to ONE HOUR PER WEEK- A visit could include talking, social-recreational activities, gentle exercise, or lunchIf this is an opportunity you would enjoy, we would love to hear from you! PLEASE APPLY AT THE EARLIEST OPPORTUNITY. Thank you!
","
GoalOur Friendly Visiting Program grew out of our Meal Delivery Program, as we grew to  realize that a visit can be as important as a meal! The loss of friends, siblings, and spouses can leave a senior feeling isolated.  Poor health or poor mobility can restrict a senior's ability to get out and maintain social connections.   Through the Friendly Visiting program, we are able to  offer our Seniors opportunities for interaction that include visiting, social-recreational activities, gentle exercise, or lunch with a volunteer in their own homes.
","
Benefits+ Volunteer Visiting is a great way to meet new people, other volunteers and clients, and make a difference in the lives of those that would benefit from a visit+ Excellent introductory volunteering opportunity for those interested in a career related to caregiving for older adults + If you are interested in sharing a gentle in home exercise routine with the client you are visiting, you will have the opportunity to receive training on the CCAA's Tiered Exercise Program+ Volunteers are invited to any workshops CMOW holds on topics like Elder Abuse, etc.
","
Position Qualifications● We are looking for caring volunteers that would enjoy connecting with a senior in their community● CMOW requires a Vulnerable Sector Police check of all our volunteers (because you'll be helping seniors), and we can help you with that processMin Age: 18    Police Check: Yes
","
Time Commitment Duration:Medium Term (4 - 6 months)Start Date:2019-09-08End Date:2021-01-31 Monday Morning, Monday Afternoon, Tuesday Morning, Tuesday Afternoon, Wednesday Morning, Wednesday Afternoon, Thursday Morning, Thursday Afternoon, Friday Morning, Friday Afternoon> We are looking for volunteers that can commit 4-6 months +>> Volunteers would visit for ONE HOUR, ONCE A WEEK>>> Volunteers are also asked to attend a yearly training refresher and communicate/have a monthly check in with Program Coordinator (which can be conducted over the phone)
","
TrainingOrientation and training provided.  Program Coordinator will accompany Volunteer to the first visit with client.
","
Area(s) of Interest: Sports & Recreation, Food Services, Social Media, Life Skills & Accessibility, Senior Support
"
FUNdraising and Special Events Coordinator,  M/B/C/V,  Active Chefs Charity,https://www.volunteermbc.org/report.php?ListType=VolunteerPositionsAll&ID=2156&MenuItemID=1,"
DescriptionWe seek dynamic, energetic individuals to: > Help develop, plan, and organize SPECIAL EVENTS and support our organizational FUNDRAISING activities  > Work with other team members to identify, solicit, and connect ActiveChefs to potential donors, sponsors, future invested stakeholders, and related prospects> Assist in creation of communications (eg. eblasts, newsletters, etc.), mailing lists, promotional, and marketing materials> Support other initiatives such as our annual gala, anniversary celebrations, event programming, volunteer and alumni relations, PLUS PR and special campaigns, as needed and assigned, to raise our community service awareness, 'profile' and 'brand' > To meet ongoing objectives (reaching directly into the community), travel likely will be involved
","
GoalActiveChefs is a not-for-profit charitable organization (Canadian registered charity) dedicated to promoting health and well-being of children. Volunteers who donate their time, effort, expertise, and invaluable experience are part of the essential foundation of our effective community service, PLUS our organization's  ongoing and future success.FINANCIAL SUPPORT remains a crucial need for every charitable organization, and is always a work-in-progress. ActiveChefs looks to dynamic, passionate volunteers with leadership qualities within the communities that we serve to build our capacity and outreach through securing support from established supporters, PLUS attracting new donors, sponsors, commitments, and benefactors who will come to recognize/endorse the important contributions that we make.Such is the CHALLENGE, and we invite you to join us in building our children's futures by enhancing the quality and experience of their education and learning.
","
Benefits+ Volunteers who donate their time, effort, expertise, and experience are the foundation and immensely valuable assets within ActiveChefs+ ActiveChefs offers supportive and exciting opportunities for volunteers, and WE APPRECIATE your incredible contributions in helping us make a difference in the lives of children and in our community!+ Those interested in exploring or pursuing a career associated with early childhood education are encouraged to explore becoming involved with ActiveChefs+ Excellent opportunity in 'event planning', 'fundraising', 'brand' promotion, and related 'roles' to bring your varied talent/skills/experience to a highly regarded community service organization! Add to your resume, while building a solid foundation for ActiveChefs!+ 'Network' with dedicated volunteers and stakeholders in elementary public/separate school education, PLUS build your 'connectivity'+ Enjoy the fun and satisfaction of helping children grow and prosper under ActiveChefs' community outreach and programs!+ Secondary school students have the opportunity to earn hours towards their '40 hours' community service graduation requirement
","
Position Qualifications● Understanding and commitment to ActiveChefs' vision and mission● Committed to community engagement ('networking') that focuses upon HIGH VISIBILITY EVENT PLANNING and FUNDRAISING● Excellent oral/written English (fluency in additional languages welcome)● Computer literate in applications typically associated with event planning/management and fundraising● Prior experience in the not-for-profit sector preferred (but not required)● High degree of CONFIDENCE in reaching into the community for financial support (identification/cultivation of donors, sponsors, supporters)● Creative, yet organized, with attention to detail, project-oriented (adherence to deadlines), goal/target driven● Collaborative as part of a dynamic, dedicated team of volunteers and professionals, plus capable of volunteering independently● Respect for privacy/confidentialityMin Age: 16    Police Check: Yes
","
Time Commitment Duration:Any DurationStart Date:2019-09-23 AnytimeFLEXIBLE work schedule > Meetings, volunteering from home, promotion/solicitation in-the-field, event attendance, etc.(Typically, there is crossover between event planning/execution and fundraising initiatives. Depending upon the specific 'role', volunteers may expect to be involved with an event target date and/or fundraising project/campaign deadline(s). The nature of these important activities necessitates a preference for extensive commitment > more than 6 months, in order to promote continuity and allow adequate time for effective planning and quality delivery, meeting of targets/goals/objectives.)
","
TrainingOrientation ; Training is provided ; Scheduled training ; Training during your volunteer engagement
","
Area(s) of Interest: Fundraising, Office Administration, Information Technology, Event Planning, Finance, Social Media, Holiday & Festive, Information & Referral Services, Marketing/Promotion, Program Coordination, Volunteer Coordination
"
Community Support Volunteer,  M/B/C/V,  Active Chefs Charity,https://www.volunteermbc.org/report.php?ListType=VolunteerPositionsAll&ID=2155&MenuItemID=1,"
Description> If you'd like to become actively involved in making a positive contribution in your community, we have various volunteer positions available with ActiveChefs - a not-for-profit charitable organization (Canadian registered charity) serving school-age children (5 - 12) in various elementary schools & community neighbourhoods, covering Oakville, Burlington, Milton, Acton, Georgetown, Mississauga, Brampton, and Caledon. >> Based on your background, expertise, special interest(s), you could help with various organizational initiatives such as marketing, communication, social media, event management & coordination, youth & community engagement, fundraising, donations, program support, administrative support, coaching, recreation, program activities, teaching assistance, education support, general assistance, transportation, food prep, kitchen work, meal preparation, usher, server, games, sports, etc.>>> YOU'RE INVITED TO EXPLORE THESE 'ROLES' by clicking the yellow box 'Apply Now!' (above or below). It would be helpful if Volunteer MBC 'clients' would attach resumes to their 'volunteer profiles'. DON'T DELAY. The school year has already begun, so we'd love to hear from you!
","
GoalActiveChefs is a not-for-profit charitable organization (Canadian registered charity) dedicated to promoting health and well-being of children. Volunteers who donate their time, effort & expertise are the foundation and a valuable asset of our charitable organization. We envisage COMMUNITY SUPPORT in a wide variety of volunteering capacities (see 'Description', above). Our goal is to assemble a team of dedicated, dynamic volunteers who will assume 'roles' designed to ensure success of ActiveChefs' vision and mission. IF you're ready to be CHALLENGED, plus primed to contribute to a worthwhile cause within your community, JOIN US!
","
Benefits+ Volunteers who donate their time, effort & expertise are the foundation and a valuable asset of our charitable organization+ ActiveChefs offers supportive and exciting opportunities for volunteers, and WE APPRECIATE your incredible contributions in helping us make a difference in the lives of children and in our community!+ Those interested in exploring or pursuing a career associated with early childhood education are encouraged to seriously consider related 'roles' offered above+ Plenty of latitude in available 'roles' > bring your varied talent/skills/experience to a highly regarded community service organization!+ Excellent opportunity to 'network' with dedicated volunteers and stakeholders in elementary public/separate school education+ Enjoy the fun and satisfaction of helping children grow and prosper under ActiveChefs' community outreach and programs!+ Secondary school students have the opportunity to earn hours towards their '40 hours' community service graduation requirement
","
Position QualificationsCommunication & Interpersonal Skills ; Confidentiality ; Creativity ; Customer Service ; Dependability & Trustworthiness ; Friendly & Outgoing ; General Computer Skills ; Leadership ; Marketing & PR ; Mentoring & Training ; Patience ; Planning & Organizing ; Positive / Cheerful Demeanor ; Public Speaking ; Research ; Self-Motivated / Work Independently ; Sports & Coaching ; Team Work ; Working with Children ; Writing & EditingMin Age: 16    Police Check: Yes
","
Time Commitment Duration:Any DurationStart Date:2019-09-23 Monday Morning, Monday Afternoon, Monday Evening, Tuesday Morning, Tuesday Afternoon, Tuesday Evening, Wednesday Morning, Wednesday Afternoon, Wednesday Evening, Thursday Morning, Thursday Afternoon, Thursday Evening, Friday Morning, Friday Afternoon, Friday Evening, Saturday Morning, Saturday Afternoon, Saturday Evening, Sunday Morning, Sunday Afternoon, Sunday Evening, AnytimeFLEXIBLE schedule, year round, to be mutually arranged(Time commitments vary with the 'role' undertaken, ranging from a weekly school day commitment to a 'project-oriented' timeline)
","
TrainingOrientation ; Training is provided ; Training on the job ; Training on-going
","
Area(s) of Interest: Arts & Crafts, Communication/Journalism, Culture & Heritage, Education & Learning, Fundraising, Office Administration, Sports & Recreation, Customer Service, Seasonal/Special Event, Audio & Visual Production, Career Mentorship, Youth Programs, Event Planning, Food Services, Social Media, Holiday & Festive, Life Skills & Accessibility, Marketing/Promotion, Music/Theatre, Program Coordination, Literacy, Volunteer Coordination, Youth Mentorship
"
