Position,Location,Description,Organization,Deadline,Websites
Retail Assistant," 1777 Tenth Line Rd

Orleans, On","BFM Foundation (Canada) is a national Christian organization with over 50 Mission Thrift Stores across Canada. The net revenue from all Mission Thrift Stores is devoted to the Joint Ministry of BFM Foundation (Canada) and Bible League Canada. These funds are used to establish adult literacy programs, provide church planter training, children’s ministry programs, and distribute Bibles in many places around the world. The stores are operated primarily by dedicated volunteers.


Mission Thrift Store Orleans is currently seeking an individual who understand and support the vision and purpose of BFM Foundation (Canada). 

The Retail Assistant will report to and assist the Store Manager.


Qualifications:

Knowledge, Skills and Abilities

·	Experience working with volunteers

·	Strong organizational and prioritizing skills

·	Ability be on your feet for extended periods and lift items

·	Excellent verbal communication skills

·	Professionalism and respect

·	Displays a high level of trustworthiness and integrity

·	Proven ability to show initiative and leadership


Experience: 

Experience in a retail setting; experience with non-profit/voluntary sector would also be considered an asset.
", Mission Thrift Store Orleans," Jul 31, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?log=view&log_id=43732
Receiver," 1777 Tenth Line Rd

Orleans, On","This is a job that requires speed and an extra ordinary passion for organization! Donations arrive daily in boxes and bags that need to be emptied, pre-sorted and sent to the various departments for sorting, pricing and stocking in store. You will be required to greet and thank everyone who brings a donation.


Responsibilities:

Donations must be sorted by category, and taken to the correct department. The receiving area must be kept clear, and the recycle items, cardboard and garbage taken to the appropriate locations.

Training is provided.


Qualifications:

Physically fit to carry out the responsibilities of the job.
", Mission Thrift Store Orleans," Jul 31, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?log=view&log_id=43731
Cashier," 1777 Tenth Line rd

Orleans, On","Cashiers have one of the busiest jobs in our store! If you like a fast paced environment & like to stay busy, this volunteer role is for you!

*Training provided


Responsibilities:

Accept payment for goods

Greet & thank our customers


Experience Requirements:

Past retail experience an asset

Must be 16 years+


Desired Skills:

Mathematically inclined

Customer service skills


Qualifications:

Responsible and reliable", Mission Thrift Store Orleans," Jul 31, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?log=view&log_id=43730
Warehouse Help," 1777 Tenth Line Rd

Orleans, On","Do you like to be busy & organize? If so, we need your help! We are blessed daily with donations that need to be sorted before we can sell it. This is a fast paced environment filled with lots of interesting finds in many departments!


Responsibilities:

Sort donations into appropriate categories

Training provided


Qualifications:

Great for retired people wanting to give back to the community.

Great for youth looking for volunteer/work experience (8-15 years with an adult)

Group volunteer opportunity up to 20 people/group


Benefits:

Gain great experience in the retail industry
", Mission Thrift Store Orleans," Jul 31, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?log=view&log_id=43729
Merchandiser," 1777 Tenth Line Rd

Orleans, On","The Merchandiser is responsible in keeping the store beautiful by finding ways to improve how the products are presented to the customers. There is a need to position products and maintain a visually pleasing display in all departments throughout the day as customers continuously changes it. Making sure the racks and shelves are full but not over flowing.


Qualifications:

Knowledge, Skills and Abilities

·	An ability in knowing how to make products look appealing

·	Experience working with volunteers

·	Good organizational and prioritizing skills

·	Ability to be on your feet and active

·	Good verbal communication skills

·	Professionalism and respect

·	Displays a level of trustworthiness and integrity

·	Proven ability to show initiative


Experience: Experience in a retail setting; experience with non-profit/voluntary sector would also be considered an asset.
", Mission Thrift Store Orleans," Jul 31, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?log=view&log_id=43728
Tester," 1777 Tenth Line Rd

Orleans, On","We need people that could test the electrical and electronic products that we receive as donations to make sure they work properly for resale. If they do not work, if they can be repaired for resale or sent for our recycling program. 


Qualifications:

Knowledge in electrical devices and/or electronic devices to be able to test effectively the products.
", Mission Thrift Store Orleans," Jul 31, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?log=view&log_id=43727
Recycler," 1777 Tenth Line Rd

Orleans, On","The Recycler is someone that is responsible for the recycling program that we have in the store. There are 7 categories of recycling that this position could either focus on 1 or all of the categories depending on their abilities. The categories are: metal, e-waste, plastics, glass, clothing, cardboard and fiber. 


Training is provided.", Mission Thrift Store Orleans," Jul 31, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?log=view&log_id=43726
Cleaner," 1777 Tenth Line rd

Orleans,  On","Provide cleaning services to the store to keep the premises safe for customers, staff and volunteers.


There are several areas of cleaning that can be shared between volunteers such as carts, counters, change rooms, kitchen, floors, windows, bathrooms, garbage, shelves and racks.", Mission Thrift Store Orleans," Jul 31, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?log=view&log_id=43725
Silent Auction Specialist," 1777 Tenth Line Rd

Orleans, On","The Silent Auction Specialist is responsible in recognizing gems found in the vast amount of donations and knowing how to display them to capitalize on the value of the items and making sales for the store. 


Qualifications:

Knowledge, Skills and Abilities

·	Recognizing value in antiques, vintage and other specialty items that could get attention and higher bids.

·	An ability in knowing how to make products look appealing

·	Experience working with volunteers

·	Good organizational and prioritizing skills

·	Ability to be on your feet and active

·	Good verbal communication skills

·	Professionalism and respect

·	Displays a level of trustworthiness and integrity

·	Proven ability to show initiative


Experience: Experience in a retail setting; experience with non-profit/voluntary sector would also be considered an asset.
", Mission Thrift Store Orleans," Jul 31, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?log=view&log_id=43724
Mover," Our moves happen all over the city, however we meet at one secure location before each move. ","We are looking for volunteer Movers! Shelter Movers Ottawa is a non-profit that offers free moving and storage for those fleeing abuse. Access to moving and storage services are a significant barrier to fleeing abuse. Movers use their time and energy to help our clients overcome these barriers. They are the ‘helping hands’ and ’boots on the ground’ that support our clients at a critical moment.


Shelter Movers’ volunteer move teams are a grassroots response to Violence Against Women in our communities. Join us!", Shelter Movers of Ottawa," Sep 4, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?log=view&log_id=43609
Assistant Soccer Coach For Young Children," 37 Oriska Way,

Ottawa","This is a fantastic opportunity for you to be a part of an amazing team and gain valuable experience working with children of all abilities on a weekly basis.


Our coaching team will help guide you through your training and we offer unlimited support to ensure you get the most out of running your sessions.


We offer coaches the opportunity to progress from Volunteer Assistant to Lead to Mentor to Coaching Director.


All coaches must be available to coach Saturday and/or Sunday mornings and be passionate about working with children.


We expect ALL coaches to be 100% reliable and have high levels of energy/enthusiasm!


Work Experience


• Soccer playing/coaching experience


• Experience of communicating with members of the general public and young children


• Physical fitness and stamina


• A personal commitment to sustaining professional working practices in the workplace at all times including excellent timekeeping and punctuality skills (Essential)


• The right aptitude for coaching young children


• Ability to work as part of a team.
", Green Wave Soccer," Jul 29, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?log=view&log_id=43561
Volunteer Driver," 670 Albert St. Ottawa, ON. K1R 6L2","Meals on Wheels Ottawa is looking for volunteer drivers to help deliver meals to isolated seniors and adults with disabilities. We are particularly looking for volunteer drivers who:


•	can commit longer term (6+ months) 

•	have access to a vehicle

•	have a Driver’s Licence and minimum liability insurance

•	have a Police Record Check - Level 3 Vulnerable Sector Check (less than 12 months)

•	can deliver a route on their own OR with someone from their own household (must also go through volunteer training)

•	can follow all new health and safety meal delivery protocols put in place due to COVID-19


NOTE: the Ontario Public Health COVID-19 self assessment  recommends that those over age 70 years reduce their time outside the home.


All meals are now being delivered from our office located inside the Good Companions Seniors' Centre (670 Albert St) and being delivered across the city. 


Join our team and give back to your community. The volunteer commitment is flexible and is usually once a week. Volunteer training provided.


Please note: if you have already submitted a volunteer application through the COVID-19 Response Site, there is no need to apply here too. You will be contacted shortly and we thank you for supporting Meals on Wheels. We look forward to connecting with you soon!


For more info: 

•	please contact Jessica via email volunteer@mealsonwheels-ottawa.org", Meals on Wheels Ottawa - La Popote roulante," Sep 22, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?log=view&log_id=43545
Yard work and/or small repairs - Cat-a-Match Rescue ," 4890 St Paul, St Eugene ON, K0B1P0 (near Hawkesbury)","This is a short-term position that will assist Cat-a-Match Rescue  located in Prescott-Russell.


As a volunteer you will be helping with yard work such as:

- Cleaning up

- Grass cutting

- Weed removal

- Burning branches with permission from municipality and supervision by owner of the property which encompasses 4 buildings. 


If you have experience as a handyman, as a volunteer you would replace 2 window screens as well as nail siding to the front porch.


Time Commitment: This position could take 1-3 days or until it is completed.


For more information, please contact Joanne at catamatchrescue@hotmail.com.", Volunteer Ottawa," Jul 10, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?log=view&log_id=43453
Support for families and residents with on site visits, 77 Monk Street Ottawa On,"Due to covid-19 residents have not been able to visit with their families for three months.  Starting next week one family member at a time will be able to have an outside visit.  Volunteers will escort the residents to the outside onsite location, support the visit, return the resident to their unit and continue on with the process.  The hours selected can be between 12:30 and 7:30.  Volunteers must have been tested and have a negative result to volunteer in this position.", The Glebe Centre," Jul 31, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?log=view&log_id=43447
Board of Directors Position," Family Services Ottawa

312 Parkdale, Ottawa, ON","The FSO Board is seeking expertise in areas including not-for-profit law, corporate governance, mergers, acquisitions, amalgamations, employment, human resources, real estate and change management.", Family Services à la famille Ottawa," Jul 31, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?log=view&log_id=43444
Virtual Volunteer Reader, Virtual Opportunity,"Become a virtual reading star by joining the PRC Read To Me campaign!


Record a video of yourself reading your favorite children’s story (suitable for children 1 to 6 years of age) and become the star you are meant to be (feel free to include other family members and pets).  We hope to have as many as 40+ videos that will play online and social media sharing the joy of reading during the pandemic and beyond.  Videos should be between two and fifteen minutes in length.  Animated reading (changes in voice and gestures etc…) is great but not required.  We are looking for volunteers to read in multiple languages (ex. English, French, Arabic, Spanish, etc…).  Where possible, we will select a few video stories and alter the video to include the words of the story for children that are hearing impaired. 


Volunteers are encouraged to identify themselves at the beginning of the video. (ex. “Hello, my name is Paula and I work with….  I am volunteering with the Parent Resource Centre by reading one of my favorite stories to you.  The story I am going to read today is…”).  At the end, volunteers are encouraged to close the story session with something like the following:  “I hope you enjoyed my book today”, “thank you for watching”, “I was happy to share with you today”.


We will provide you with a sample story session that you can watch to get you started via our YouTube channel.  Once your video is complete, you will be invited to upload it (preferably in MP4 format) to a private drop box folder. 


Please note, that we will require all volunteers to sign and return an electronic waiver that allows us to promote and play your video online and through social media. 


All videos will be reviewed prior to airing.


Please contact Paula Coons at PCoons@parentresource.ca if you are interested in participating or have other questions. She will then send you the links you require to get started.


Thank you for being part of our effort to encourage storytelling, family time, and most of all reading.


*Note:  Please do not contact Paula by phone.  She is working virtually and can only access phone messages weekly.", Parent Resource Centre of Ottawa," Jul 10, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?log=view&log_id=43435
Maintenance/Handy Man, Sandy Hill ,"We are looking for a maintenance/handyman person who can come weekly to do small jobs and repairs such as painting. assembling shelves, minor plumbing, caulking etc.", Carty House," Jul 17, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?log=view&log_id=43421
Still Need 300 Volunteers!, Ottawa,"We have over 300 people with disabilities in Ottawa who are feeling isolated and alone, wishing they had a volunteer friend and advocate through our organization. Most of them will have to wait two and a half years to be matched. Will you help one person to get off of our waiting list? 


Being a volunteer Ally is convenient, flexible, and rewarding. We match people one-on-one, who live in locations convenient to each other, and with similar interests and shared activities. You spend time with your match, with the possibility of also including your family and friends. You get together three or four times a month at your convenience, and do what friends do: go for coffee, take a walk, or get out to an event. This can have a huge impact in the life of someone with a disability who is feeling isolated and alone. 


As a volunteer you need to be over the age of 18 and make a minimum commitment of 12 months to this role [Note: your status in Canada may affect your ability to make this commitment e.g. visitor visa, student visa, refugee claimant]. Preparation and ongoing support are provided. 


As a friend to someone with a disability you can have a profound effect on their life by reducing loneliness and isolation; helping to achieve hopes and dreams; developing personal networks and relationships; decreasing vulnerability; and increasing self-confidence, mental and physical health. 


Join our team of more than 250 volunteer advocates who are enriching the lives of someone in their community. People need people!


INTERESTED? CONTACT US DIRECT AT volunteer@able2.org OR 613-761-9522


À Ottawa, plus de 300 personnes isolées à cause de leurs handicaps souhaiteraient être jumelées à travers notre organisation avec un ami et défenseur bénévole.  La plupart attendront 2 ans et demi avant d’être jumelées.  Aimeriez-vous aider une de ces personnes à être rayée de nos listes d’attente?


Si vous aimez passer du temps avec les gens et vous êtes disponible pendant une ou deux heures par semaine, nous vous invitons à communiquer avec nous.  Un bénévole doit avoir 18 ans ou plus et être prêt à s’engager pour un jumelage de 12 mois [N.B : Votre statut au Canada peut affecter votre capacité à réaliser cet engagement, par exemple visa de visiteur, visa d'étudiant, demandeur de statut de réfugié].  L’encadrement et le soutien continu sont fournis aux bénévoles.


Vous pouvez avoir un profond impact dans la vie d’une personne ayant un handicap de plusieurs façons: en diminuant sa solitude, en l’aidant à réaliser ses rêves, en développant son réseau personnel, en diminuant sa vulnérabilité, en augmentant son estime de soi et en contribuant à améliorer sa santé physique et mentale. 


COMMUNIQUEZ AVEC NOUS: volunteer@able2.org OU 613-761-9522 ", Able2 (formerly Citizen Advocacy)," Sep 18, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?log=view&log_id=43408
Are you a young adult who would like to make a difference in someone’s life?, Bells Corners,"Alice is in her early 20s and would like a friend around the same age who is interested in going to the mall, restaurants and bars. Someone who is confident, supportive and can lead the way for her and help her extend her range of age appropriate activities. 


As a friend to someone with a disability you can have a profound effect on their life by reducing loneliness and isolation; helping to achieve hopes and dreams; developing personal networks and relationships; decreasing vulnerability; and increasing self-confidence, mental and physical health. 


Join our team of more than 250 volunteer Allies who are enriching the lives of someone in their community. You will gain a wonderful new friendship – someone to share activities that you love. You need to be over the age of 18 and to make a minimum commitment of 12 months to this role [Note: your status in Canada may affect your ability to make this commitment e.g. visitor visa, student visa, refugee claimant]. Preparation and ongoing support are provided.


Change Two Lives - https://www.youtube.com/watch?v=SMcWEQdN920


INTERESTED? CONTACT US DIRECT AT volunteer@able2.org or 613-761-9522 
", Able2 (formerly Citizen Advocacy)," Sep 18, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?log=view&log_id=43407
Spend time with a senior sharing your love of sports, Alta Vista,"Nick (aged 64 years old) enjoys watching sports – hockey, soccer, baseball and football – he is also open to other activities. He would love to spend an hour or two each week with someone who shared his interests and who could help him get out of the house.

As a friend to someone with a disability you can have a profound effect on their life by reducing loneliness and isolation; helping to achieve hopes and dreams; developing personal networks and relationships; decreasing vulnerability; and increasing self-confidence, mental and physical health. 


Join our team of more than 250 volunteer Allies who are enriching the lives of someone in their community. You will gain a wonderful new friendship – someone to share activities that you love. You need to be over the age of 18 and to make a minimum commitment of 12 months to this role [Note: your status in Canada may affect your ability to make this commitment e.g. visitor visa, student visa, refugee claimant]. Preparation and ongoing support are provided.


Change Two Lives - https://www.youtube.com/watch?v=SMcWEQdN920


INTERESTED? CONTACT US DIRECT AT volunteer@able2.org or 613-761-9522 
", Able2 (formerly Citizen Advocacy)," Sep 18, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?log=view&log_id=43406
Ever thought you could volunteer by going for a drink in a bar?, St Laurent,"Paul has many things he likes to do. He would like to be matched with a volunteer Advocate who can meet with him each week. Someone who enjoys some of the things that Paul does – walks, having a drink in bar, movies, restaurants, bowling. 


As a friend to someone with a disability you can have a profound effect on their life by reducing loneliness and isolation; helping to achieve hopes and dreams; developing personal networks and relationships; decreasing vulnerability; and increasing self-confidence, mental and physical health. 


Join our team of more than 250 volunteer Allies who are enriching the lives of someone in their community. You will gain a wonderful new friendship – someone to share activities that you love. You need to be over the age of 18 and to make a minimum commitment of 12 months to this role [Note: your status in Canada may affect your ability to make this commitment e.g. visitor visa, student visa, refugee claimant]. Preparation and ongoing support are provided.


Change Two Lives - https://www.youtube.com/watch?v=SMcWEQdN920


INTERESTED? CONTACT US DIRECT AT volunteer@able2.org or 613-761-9522 
", Able2 (formerly Citizen Advocacy)," Sep 18, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?log=view&log_id=43405
Social senior needs help to get out in to the community, Centrepointe,"Mary is friendly and outgoing, she enjoys new things and has a wide variety of interests such as arts and crafts, crosswords, museums, parks and community events. She is looking for someone who can spend time with her one-on-one each week. The ideal volunteers is someone who is patient, willing to work with Mary’s communication methods (which include a bliss board and personal communication book) and able to push a manual wheelchair.


As a friend to someone with a disability you can have a profound effect on their life by reducing loneliness and isolation; helping to achieve hopes and dreams; developing personal networks and relationships; decreasing vulnerability; and increasing self-confidence, mental and physical health. 


Join our team of more than 250 volunteer Allies who are enriching the lives of someone in their community. You will gain a wonderful new friendship – someone to share activities that you love. You need to be over the age of 18 and to make a minimum commitment of 12 months to this role [Note: your status in Canada may affect your ability to make this commitment e.g. visitor visa, student visa, refugee claimant]. Preparation and ongoing support are provided.


Change Two Lives - https://www.youtube.com/watch?v=SMcWEQdN920


INTERESTED? CONTACT US DIRECT AT volunteer@able2.org or 613-761-9522  
", Able2 (formerly Citizen Advocacy)," Sep 18, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?log=view&log_id=43404
Be a friend to Sophie, Sandy Hill area,"Sophie lives in the Sandy Hill area and is looking for someone who can help her engage in her community by attending local events, going for coffee, walking with her and possibly providing some practical help (understanding documents, basic computer skills and budgeting). An ideal volunteer Advocate for Sophie would be someone who is down-to-earth, patient and understanding.   


As a friend to someone with a disability you can have a profound effect on their life by reducing loneliness and isolation; helping to achieve hopes and dreams; developing personal networks and relationships; decreasing vulnerability; and increasing self-confidence, mental and physical health. 


Join our team of more than 250 volunteer Allies who are enriching the lives of someone in their community. You will gain a wonderful new friendship – someone to share activities that you love. You need to be over the age of 18 and to make a minimum commitment of 12 months to this role [Note: your status in Canada may affect your ability to make this commitment e.g. visitor visa, student visa, refugee claimant]. Preparation and ongoing support are provided.


Change Two Lives - https://www.youtube.com/watch?v=SMcWEQdN920


INTERESTED? CONTACT US DIRECT AT volunteer@able2.org or 613-761-9522
", Able2 (formerly Citizen Advocacy)," Sep 18, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?log=view&log_id=43403
Help a lonely senior!, Vanier/Carson Grove area,"Millie is wishing for a great volunteer who would enjoy helping a senior get a bite to eat and lend a helping hand. Millie loves Boston Pizza and wants to get out into her community. She would love someone who could help her learn to use a computer.


As a friend to someone with a disability you can have a profound effect on their life by reducing loneliness and isolation; helping to achieve hopes and dreams; developing personal networks and relationships; decreasing vulnerability; and increasing self-confidence, mental and physical health. 


Join our team of more than 250 volunteer Allies who are enriching the lives of someone in their community. You will gain a wonderful new friendship – someone to share activities that you love. You need to be over the age of 18 and to make a minimum commitment of 12 months to this role [Note: your status in Canada may affect your ability to make this commitment e.g. visitor visa, student visa, refugee claimant]. Preparation and ongoing support are provided.


Change Two Lives - https://www.youtube.com/watch?v=SMcWEQdN920


INTERESTED? CONTACT US DIRECT AT volunteer@able2.org or 613-761-9522  ", Able2 (formerly Citizen Advocacy)," Sep 18, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?log=view&log_id=43402
