Position,Location,Primary_Category,Organization,Date_Posted,Websites,Description
COVID-19: Online Tutor,"Etobicoke, Toronto, North York, Scarborough,",COVID-19 Response,Parsec Youth Network,2020-06-17,https://www.volunteertoronto.ca/networking/apply_now.aspx?view=2&id=608231,"


In response to the COVID-19 pandemic and school lock-downs, the Parsec Youth Network (PYN) has developed a free online tutoring program to support grade-school students across Canada. We are looking for online tutors to help!

Depending on your area(s) of expertise, we will connect you to a student in need of tutoring services. You will be provided with general guidelines, and hours will be flexible. Tutoring sessions will be provided remotely (via Zoom, Skype, Google Hangouts, etc.). Students will largely be located within the Greater Toronto Area, but your location will not be a factor in your application at all.

Vulnerable Sector Screening

All volunteers must provide us with a copy of their Vulnerable Sector Screening (VSS) from within the past 2 years, or evidence and a reference that can verify that they have worked or volunteered with vulnerable persons within the past 12 months, given the difficulties of obtaining a VSS at this time.

Who Can Apply
All are welcome to apply; we wholeheartedly appreciate any help with this initiative. Although experience in tutoring is not mandatory, regular check-ins and feedback forms will be given to both you and your student to ensure that sessions run smoothly.

To learn more about our initiative: https://parsecyouthnet.weebly.com/tutoring.html

Time Commitment:
Volunteer From Home/Remote
Flexible time commitment over a minimum 2-month period

"
Volunteer Delivery Driver,"Toronto, Ontario",COVID-19 Response,VHA Home HealthCare,2020-06-12,https://www.volunteertoronto.ca/networking/apply_now.aspx?view=2&id=607880,"

 
Volunteer Delivery Driver (Personal Protective Equipment – PPE, & Essential Goods) 
Make a Difference in Your Community during a Time of Crisis 
VHA Home HealthCare Urgently requires volunteer delivery drivers to help deliver Personal Protective Equipment (PPE) to Personal Support Workers and Nurses at various locations in Toronto. Volunteers also deliver essential goods to clients as needed. (Optional) 
Volunteer Delivery Drivers pick-up PPE from VHA and deliver it to designated VHA staff between 9:00a.m. – 5:00p.m. Monday to Friday.  Specific locations and times are determined based on the availability of each volunteer and VHA. 
Purpose: This role ensures that staff and clients receive resources that are required to ensure that they remain safe while giving and receiving essential healthcare services. Essential Goods Delivery: ensures that clients - individuals and families, who cannot safely go out in the community, receive food and supplies to remain safe and healthy at home. 
Area Served Throughout Toronto: Scarborough, North York, East York, York, Toronto, Etobicoke 
Responsibilities 
 ·       Volunteers use their own vehicle to pick up PPE from VHA Home HealthCare and delivery it to staff
·       Volunteers will be provided with a destination address, contact and phone number, and will deliver PPE packages to VHA staff ensuring that it is received
·       Volunteers will call the VHA staff recipient to ensure they connect and delivery the PPE
·       PPE delivery is ‘no contact’ and physical distancing is maintained; Volunteers remain in their vehicle while staff load PPE into the  vehicle at pick-up, and upon arrival at the delivery location, volunteers remain in the vehicle while a staff supervisor collects PPE.
·       Volunteers text the Coordinator to confirm that the delivery is complete 
Time Commitment: Schedule to be determined and agreed by each volunteer in collaboration with the Coordinator, depending upon needed deliveries, delivery locations, volunteer availability and Volunteer location 
Age Requirement: Must be 18 years or older 
Skill Requirements / Qualifications 
·       Commitment, Reliability, Punctuality, Friendly, Flexible, Safe Driver, Committed to physical distancing 
·       Valid Driving License and good driving record – Driver Form & Waiver provided by VHA and must be signed by volunteer 
·       Proof of valid driving insurance 
Time Commitment 
·       2 or more hours per week between 9am-5pm Monday – Friday with specific days and times to be determined with each individual volunteer 
·       Volunteers may take as few or as many shifts a week as they like 
Boundaries 
·       Maintain privacy and confidentiality of all information that you may have access to through your role, including but not limited to names, locations/addresses and telephone numbers 
·       Maintain physical distancing – minimum 2 meters between self and others 
·       Maintain vehicle in good working order 
·       Maintain vehicle/driver licenses and insurance 
Benefits 
·       Opportunity to support your community in a highly impactful way during a time of great need 
·       Personal satisfaction as you provide a vital service to VHA staff, clients and the community 
·       Engagement with a professional and supportive organization 
·       Reference provided upon completion of commitment 
Screening, Training, Support 
·       Orientation, Application and Interview, 2 References are required  
·       Vulnerable Sector Screening (Level 3 Police Check), required 
·       Online training prior to volunteering 
·       Signing Driver Form, Policies and Waiver 
·       On-going support and communication from Coordinator
Working Conditions 
·         Driving own car, transporting vital goods 
·         Some engagement with VHA staff 
·         All weather conditions 
If you require accommodation to participate in the application and screening process, please let us know. 

For more information & to apply, contact: 
Dawn Ashford, BSW, CVA, Coordinator of Volunteers 
(647) 461-9485; Email:  dashford@vha.ca or apply online at www.vha.ca

About VHA Home HealthCare 
Since 1925, VHA Home HealthCare—a not-for-profit, charity—has empowered Ontarians to create possibilities for more independence. VHA’s team of over 2,000 support clients in throughout Ontario and are a founding member agency of United Way Toronto.
 


"
Graphic Designer ,"Toronto, Ontario",COVID-19 Response,Shelter Movers,2020-06-12,https://www.volunteertoronto.ca/networking/apply_now.aspx?view=2&id=446942,"

 
About Shelter Movers


Shelter Movers provides moving and storage services at no cost to women and children fleeing abuse. We are the only organization of our kind in Canada, and our volunteers are no less exceptional. Every year, in collaboration with community partners, our volunteer teams contribute over 15,000 hours to support survivors transitioning to lives free of violence and abuse.
 


About the Graphic Designer Role:
 
 
Reporting to the National Director of Marketing and Communications, the Graphic Designer is responsible for planning, designing and creating visual elements to help promote our organization and its mission in collaboration with other marketing and communications volunteers. 

 Responsibilities includes: 

Planning, designing and creating visual elements to promote Shelter Movers and its mission
Creating digital graphics for use in social media campaigns, website design, emails and other digital correspondence
Creating brochures, hand-outs and other collateral for Shelter Movers events 
Creating charts, info graphics and other ways to visualize data
When appropriate, work with marketing & communications volunteers in other cities to establish content that can be used across chapters
Have regular check-ins with the National Director of Marketing and Communications

 A portfolio of professional work is requested as part of the application for the Graphic Designer role. A lot of your work will be graphic design project based work for marketing and communications campaigns or assisting Fund Development for an event. 
Time Commitment: 

 4 to 8 hours a week
 A 3 month commitment is strongly preferred

 
Essential Skills and Knowledge:

A background in graphic designing - previous experience creating graphic design projects for for clients and previous experience designing graphics for non-profit organization 
Experience and expertise in different kinds of graphic designing - particularly web and digital graphic designing is an asset. 
Strong graphic design skills 
Strong time management and communication skills
Attention to detail

Access and ability to use leading software and technologies


 
As a Graphic Designer at Shelter Movers: 

You’ll be supporting women and children fleeing violence and abuse
You’ll be part of a unique, growing and high-achieving organization
You’ll gain experience in graphic design and the Non-Profit sector
You'll gain more work experience for your portfolio 
You’ll work with a team of diverse, passionate volunteers, staff, and supporters
You’ll receive training in preparation for your role, and have access to ongoing training opportunities
After 3 months of satisfactory service, a confirmation of volunteering can be provided. After 6 months, we'd be happy to provide a personalized letter of reference.

Shelter Movers volunteers must be at least 18 years of age, complete an interview process, attend an orientation for new volunteers, in addition to signing a confidentiality agreement and obtaining a criminal record check.

"
Digital Marketing Coordinator,"Toronto, Ontario",COVID-19 Response,Shelter Movers,2020-06-12,https://www.volunteertoronto.ca/networking/apply_now.aspx?view=2&id=597179,"


Shelter Movers provides moving and storage services at no cost to women and children fleeing abuse. We are the only organization of our kind in Canada, and our volunteers are no less exceptional. Every year, in collaboration with community partners, our volunteer teams contribute over 15,000 hours to support survivors transitioning to lives free of violence and abuse.
 
 
About The Digital Marketing Coordinator Role:
 
Reporting to the National Director of Marketing and Communications, the Digital Marketing Coordinator (DMC) is responsible for creating content for web and social media, keeping our channels updated, measuring the success of digital marketing campaigns, and collaborating with other marketing and communications volunteers.
  
Responsibilities include:
 


Coming up with ideas for web and social media content pertaining to Shelter Movers and our mission.


Writing clear, concise copy, and adapting it for different platforms.


Taking engaging photos for web and social media posts.


Creating basic graphics or infographics to go along with blog and social media posts.


Posting to social media using HootSuite.


Identifying trending topics related to Shelter Movers and the Violence Against Women sector, and identifying ways to take part in those conversations.


Using Google and social media analytics to create reports on the performance of website content and social media posts.


Maintaining and measuring the success of digital advertising campaigns using Facebook, and Google Ads.


Collaborating with marketing & communications volunteers in other cities to ensure content  can be used across Shelter Movers chapters.


Having regular check-ins with the National Director of Marketing and Communications.


 
 
Time Commitment:
 


4 to 8 hours a week.


A 3 month commitment is strongly preferred.


 
 
Essential Skills & Knowledge:
 


A passion for Shelter Movers’ mission of supporting women and children fleeing violence and abuse.


An interest in a wide variety of work in Marketing and Communications.


A background in Marketing, Communications, Public Relations or Journalism is an asset.


Professional experience using social media, particularly Facebook, Instagram, Twitter and LinkedIn as well as a social media management tool like HootSuite.


Knowledge of WordPress and web content creation is an asset.


Ability to learn and adapt to new technologies and digital marketing platforms.


Excellent verbal and written communication skills.


A passion for storytelling.


The ability to maintain a voice that is supportive, approachable, anti-racist, anti-oppresive, inclusive, and accurate. 


Ability to adapt to the ever-changing language used to discuss Violence Against Women.


Excellent research skills and the ability to find accurate, credible sources, and cite them correctly.


The ability to work as part of a team.


Reliable work habits.


The ability to prioritize tasks and shift priorities as necessary.


A long-term interest in the Violence Against Women (VAW) sector, and Marketing and Communications.


 
 
As a Digital Marketing Coordinator at Shelter Movers:
 


You’ll be supporting women and children fleeing violence and abuse.


You’ll be part of a unique, growing, high-achieving organization.


You’ll work with an experienced Marketing and Communications professional, and gain experience in Digital Marketing & Communications and the Non-Profit sector.


You’ll work with a team of diverse, passionate volunteers, staff, and supporters.


You’ll receive training in preparation for your role, and have access to ongoing training opportunities.


After 3 months of satisfactory service, a confirmation of volunteering can be provided. After 6 months, we'd be happy to provide a personalized letter of reference.


 
 
Shelter Movers volunteers must be at least 18 years of age, complete an interview process, attend an orientation for new volunteers, in addition to signing a confidentiality agreement and obtaining a criminal record check.

"
Volunteer Driver -COVID-19 COMMUNITY EMERGENCY RELIEF - FOOD PROGRAM,"Scarborough, Ontario",COVID-19 Response,East Scarborough Storefront,2020-06-10,https://www.volunteertoronto.ca/networking/apply_now.aspx?view=2&id=604011,"

 
The Storefront facilitates collaboration, builds community and supports people to learn and create together, to live healthy lives, to find meaningful work, to play and thrive.                        We work with 40 different community partners to bring much needed community services to East Scarborough.
 
Currently we are supporting a grassroots group Emmanuel Life Management Center in PARTNERSHIP WITH LOCAL Restaurant Spice It Up  to recruit volunteer drivers.                    
 
● In response to the COVID-19 pandemic, Emmanuel Life Management Center in PARTNERSHIP WITH LOCAL Restaurant WILL DISTRIBUTE EMERGENCY GROCERIES TO 
   VULNERABLE FAMILIES.
● DURING THIS TIME THE SPACE WILL BE USED TO HAND-OUT Pre-PACKED GROCERIES GROCERY & A CUP OF HOT SOUP.
● We continue to follow the guidelines of the World Health Organization while practicing physical distance.

   EVERY WEDNESDAY FROM 12 PM – 3PM (DROP-IN/DELIVER)
   CONTACT: 437-886-4694 (Janel) or Email: elmc2010@hotmail.ca
   LOCATION: 4352 Kingston RD. (Spice-it-up Restaurant)
   www.elmcgroup.org
 
 
 
 
 
 
 

"
Online Career Mentoring for Experienced Newcomer Professionals in GTA,"Toronto, Ontario",Settlement and Newcomers,TRIEC (Toronto Region Immigrant Employment Council),2020-06-05,https://www.volunteertoronto.ca/networking/apply_now.aspx?view=2&id=605614,"

 
 
Are you located in the Greater Toronto Area (GTA) and do you enjoy sharing your professional experience and engaging with people from diverse backgrounds? Do you have a desire to motivate and inspire others? Do you like building networks and helping people make connections?
 
Then YOU would make a great mentor!
 
We would love you to join our community of volunteer mentors at the Toronto Region Immigrant Employment Council (TRIEC).
 
TRIEC Mentoring Partnership is career-focused program that matches a job-ready newcomer and a volunteer mentor with a similar professional background. Mentors help their mentees understand how the local job market works and build vital professional networks in GTA. In return, mentors learn leadership and coaching skills, gain knowledge of international business practices, and are able to better communicate with a diverse range of colleagues and clients.
 
Mentorship plays a key part in immigrant professionals’ success, as starting out in a new country with a limited professional network, often results in underemployment (taking a job that they are overqualified or underpaid for). 77% of mentees find a job in their occupation or related field within 6 months of completing their partnership.
 
What we ask:

Commit to 18 hours over 3-months. Meetings can be virtual via phone, video call and etc. during the COVID-19 pandemic
Plan to: collaborate with your mentee to help them identify their goals and draft their action plan; share insights about your occupation, industry and Canadian workplace culture generally; identify and facilitate networking and skill building opportunities for your mentee and guide and motivate your mentee in their job search

 
What you get:
TRIEC mentors can access a range of professional development resources including:

Workshops – build cross-cultural competencies and develop your coaching skills using a solution-focused approach
Webinars – gain action-orientated tools and tips for supporting your mentee in their job search

 If you are a member of HRPA or CPA you can claim professional development credits

Networking events – provide the opportunity to meet new and experienced mentors, and exchange solutions and best practices

 
Mentoring with TRIEC helps you:

Enhance your leadership and coaching skills
Develop competency in cross-cultural communication
Keep up-to-date on the job market and industry trends
Give back to the community and your professional sector or field 

 
What you need:

You reside in the Greater Toronto Area 
At least two years of full-time professional experience in your field in Canada
A respect for cultural diversity and have a desire to deepen your understanding
A commitment to actively support your mentee in their job search
A willingness to listen to your mentee and provide advice and introductions relevant to their experience  
A set of references which you’ll be asked for before starting your partnership

 
What you don’t need:

A huge professional network (mentees benefit from your insight into your profession— it’s not all about making introductions, though they can help) 
Decades of work experience (you are there to be a facilitator and to contextualise the Canadian workplace, not to have all the answers)

Prospective mentors from all industries and occupations are encouraged to apply, however, we are currently experiencing an especially high demand for mentors in Marketing & Sales, Business Development, IT, Healthcare, and Engineering and Architecture.

"
PPE Hero!,"Toronto, Ontario",COVID-19 Response,Toronto Humane Society,2020-06-04,https://www.volunteertoronto.ca/networking/apply_now.aspx?view=2&id=607159,"

We would be SEW appreciative if you could help us!

Toronto Humane Society is looking for volunteers to donate their time and expertise making re-usable gowns to be used at the shelter. With an increased need for PPE to keep staff, volunteers and animals safe, and a surge in market demand, the price per gown has quadrupled (4.75 to be exact!). As an organization that strives to be sustainable financially and environmentally, we would like to source gowns from talented sewers. The gowns you will make will be washed and used by staff and volunteers for years to come.

If you want to try your hand at creating our new fashion statements here are a few websites to guide you:
-https://bit.ly/2JRMcVF
-https://bit.ly/3c9GU47

Gowns can be made from polyester or polyester-cotton fabrics (like used bed sheets). If you do not have access to fabric, contact us and we will supply it for you. All designs must have full length arms, cuffs, and ties at the back to be accepted. 
 
We thank you in advance!

"
Marketing Specialist,"Toronto, Ontario","Marketing, Communications, and Fundraising",Gifted People Services,2020-06-04,https://www.volunteertoronto.ca/networking/apply_now.aspx?view=2&id=373836,"


_________________________________________________________________________

Marketing Specialist (Communications & Social Media) - Volunteer Position
Reports To: Program Coordinator
Duration: Current date to TBD
Hours: Flexible, Part-Time (work from home)
Rate: Volunteer/Internship
Deadline:  N/A
 
Gifted People Services is a registered non-profit organization serving families with children with special needs . We are looking for volunteers to fill the position of Marketing Specialist who will assist our Program organization with various marketing related activities, mainly managing our online presence (social media, web page), and creating promotional materials.
If you are a bold, self-motivated person with excellent communication skills and are looking to grow in experience in marketing, then this is the position for you!
This is an ideal opportunity for fresh graduates looking to gain professional experience or high school students looking to obtain community service hours and be get trained early on towards a successful career. This experience can assists you as you work towards career goals in fields such as marketing, public relations, communication and social media.
 
Responsibilities: 
- Creating and editing content for the new website;
- Creating and managing social media accounts;
- Proofreading and editing materials, grant applications and other documents as required;
- Assisting in the preparation of marketing materials, which include promotional brochures, press releases and newsletters.
-Other duties as assigned
 
Qualifications: 
- Comfortable using and learning new technologies, specifically web-based ones;
- Excellent writing and communication skills;
- Strong proofreading and grammar skills;
- Fluent with Photoshop, Microsoft Word, Excel, PowerPoint, Outlook;
- Working knowledge of social media platforms;
- Recent university graduate, preferably with a background in marketing, communications or Liberal Arts/English;
- Creativity and team player attitude is a must;
- Ability to work individually and self-motivated;
- Well built skills in organization, prioritization and time management.
 
Other Details 
- This is a volunteer position. Volunteers will have the possibility of further being employed with Gifted People Services as paid positions open up. A reference letter will be provided at the end of volunteership as well as a professional reference for your resume .
 

"
COVID-19: Administrative Support and Food Packing Volunteers,"Scarborough, Ontario",COVID-19 Response,Scarborough Food Security Initiative,2020-06-03,https://www.volunteertoronto.ca/networking/apply_now.aspx?view=2&id=606965,"

Since March 2020, the Scarborough Food Security Initiative (SFSI) food bank has fed almost 1000 families per week. The food bank is completely run by community members and volunteers who have come together to ensure that everyone has access to food. SFSI is now expanding to two new locations in the community and is looking for volunteers to help with packing and coordinating the functioning of the sites.
Volunteers can help out at one or both of the following sites:


Location: Byng Towers, 3330 Danforth Ave, Scarborough, ON. M1L 4P9
Date: Every Wednesday - Starting June 10th
Time: 10am - 2pm (Volunteer schedule would be communicated according to the role selected)
Positions available:

On-site Administration
Packers and Distributers
Ushers/ Runners


 
Location: 2229 Kingston Rd, Scarborough, ON. M1N 1T8
Date: Every Thursday - Starting June 11th
Time: 1pm - 5 pm Volunteer schedule would be communicated according to the role selected)
Positions available:

On-site Administration
Packers and Distributers
Ushers/ Runners

 
Please note: PPE will be made available to all volunteers.

"
"COVID-19: Sewists, Drivers, and Office Administrators (Multiple Roles)","Etobicoke, Toronto, North York, Scarborough, Ontario",COVID-19 Response,CultureLink Community and Settlement Services,2020-06-03,https://www.volunteertoronto.ca/networking/apply_now.aspx?view=2&id=606956,"

CultureLink is a settlement and community organization with more than 30 years’ experience in developing and delivering services to meet the needs of diverse communities. We assist newcomers looking for employment, help families navigate the school system, and provide youth with the skills necessary for bright and successful futures. We support refugees and bring together new and established Canadians.
As a partner of Sewing for Change, CultureLink is recruiting people to make, collect and deliver cloth masks in Toronto.
We are in need of:
Sewists:

You will sew cloth masks at home, from pre-cut fabric, following all safety guidelines

Must have sewing machine

Fabric Cutters:

Professional fabric cutters will cut pieces for masks, following all safety guidelines

Pick-up and Delivery Drivers:

You will deliver mask-making kits to sewists, pick up finished masks, and deliver them where needed, following all safety guidelines
Must have own vehicle

Office Administrators:

You will support other Sewing for Change volunteers by handling necessary office work 

 
Time Commitment: Sewists are asked to make 25 or more masks per week. Other positions are as needed.

"
COVID-19: Fundraising and Outreach Volunteers (Multiple Roles),"Etobicoke, Toronto, North York, Scarborough, Ontario",COVID-19 Response,Isolation Run for Health Care Workers,2020-06-02,https://www.volunteertoronto.ca/networking/apply_now.aspx?view=2&id=606912,"

Isolation Run is a passionate and dedicated group of runners and volunteers who want to give back in any way we can. Like just about everyone else we want to do what we can through our own networks and organizations to help our front line healthcare workers to do their jobs safely and without fear. 
How it works: Join #MyIsolationRun. Run for a minute or 20 or 60. Share your run story. Donate what you can at isolationrun.org. Every hospital across the country is on board. All you have to do is run, choose a hospital, and donate. Every minute you spend pounding the pavement is a minute you could be helping to save a life.
We are recruiting for three different volunteer roles:

Fundraising Specialist: Involves researching and pursuing potential sponsors and/or partners for Isolation Run. 
Sponsor & Partnerships Specialist: Means functioning as the contact person for participating charities and fundraisers to encourage and support their fundraising efforts.
Bilingual (French/English) Outreach & Communications Volunteer: Involves reaching out to individuals, groups and health care charities in Quebec and other french speaking areas in Canada to help ensure our movement reaches all corners of Canada.

Skills/Experience Required:

Excellent communications skills written and verbal. 
Experience in any of the following; marketing, public relations, sales, client support, fundraising, charitable sector. 
Self directed, takes initiative, shares ideas, motivated and driven.
Bilingual Outreach & Communications must be fluent in written and oral French and English.

Time Commitment: Flexible, minimum 10 hours per week.

"
COVID-19: Letter Writer,"Etobicoke, Toronto, North York, Scarborough, Ontario",COVID-19 Response,Project Tight Knit,2020-06-02,https://www.volunteertoronto.ca/networking/apply_now.aspx?view=2&id=606907,"

With all nursing homes, retirement homes, and assisted living facilities under strict lock-down, family members can't visit their loved ones. This has taken a great toll on their mental health. Additionally, many studies have shown that there mental health can have a huge impact on life expectancy and overall physical health.

Project Tight Knit is a youth volunteer-led grassroots group, aiming to support older communities by sending out letters. We understand that physically sending letters may be challenging and may cause many to feel unsafe. In order to combat this issue, everyone and anyone who is interested in supporting this cause can email their letters to projecttightknit@gmail.com

We will then print your letters and deliver them to previously contacted nursing homes in the York region. The front-line workers at these facilities have insured us that proper sanitation and protective measures will be taken before the letters are given to the elderly. As our volunteer numbers grow, we will be partnering with an increasing number of nursing homes.

Some ideas and inspiration:

Talk about your hobbies!
Share fun facts!
Talk about your interests!
Tell jokes!
Write riddles!
Send positive and hopeful thoughts!
Draw (upload with your email)


"
COVID-19: Food Delivery Volunteer,"North York, Ontario",COVID-19 Response,Circle of Care,2020-06-02,https://www.volunteertoronto.ca/networking/apply_now.aspx?view=2&id=606896,"

Circle of Care, part of Sinai Health, is a leading not-for-profit home and community care provider serving the Greater Toronto Area. Our compassionate staff and volunteers are dedicated to supporting independence at home and enhancing quality of life for people in the community.
We are looking for volunteers to deliver produce/wellness boxes to 500 seniors.
When: Sunday, June 7th and 28th, from 9:30 am to 12 noon. Volunteers can commit to one day or both.
Requirements:

Valid driver's license and own vehicle
Current Vulnerable Sector Check

Volunteers will be provided with PPE (masks and gloves).

"
COVID-19: Meals on Wheels Driver,"Scarborough, Ontario",COVID-19 Response,Transcare Community Support Services,2020-06-01,https://www.volunteertoronto.ca/networking/apply_now.aspx?view=2&id=602049,"

 
Overview of Organization:
TransCare Community Support Services, formerly Scarborough Support Services, is a registered, charitable corporation providing high quality care and compassionate service. We provide home and community support services for people who need assistance due to illness, convalescence, disability or functional limitations related to aging.
 
Overview of Volunteer Role:
Volunteers deliver over 80,000 hot and frozen meals every year to homebound seniors in Scarborough. The increased sense of safety and connection this gives to homebound individuals can be as important as the meal itself.
 
Responsibilities: 

Ensure car is in good repair with sufficient gas
Pick up runner, if necessary
Collect meals from food source
Transport meals and runner to clients’ homes
Deliver meals when necessary
Drop off runner if necessary
Observe safety check when delivering a meal 
Report any concerns/observations to Program Coordinator immediately
Maintain confidentiality
Inform the Coordinator as soon as possible, if unable to volunteer on an assigned date
Follow the program’s health and safety protocol

 
Requirements and Desirable Characteristics:

Reliable and trustworthy; punctual; warm and caring; cheerful, patient and friendly
Physically capable of carrying meal bags
Must be in good health
Must have a valid driver’s license
Must have adequate insurance coverage (agency provides information form to give to the volunteer’s insurance agent)
Interested in working with seniors and adults with disabilities
Must submit to a Police Reference Check which has resulted in an outcome that is deemed satisfactory to the agency
Knowledge of Scarborough and surrounding areas

 
Time Commitment: 11:00 a.m. to 1:30 p.m. (approximately 2.5 hours of volunteer time).  
 
Orientation and Training:

Initial orientation to agency and program
On-the-job training by an experienced staff member and volunteer
Coordinator provides on-going support and is available to answer questions and explain policies

 
Benefits/Perks:

Satisfaction of providing vital service to the community/ helping seniors and disabled adults
Enrichment and new knowledge through training opportunities
Set trip reimbursement rate for gas allowance


"
COVID-19: Driver,"Scarborough, Ontario",COVID-19 Response,Canadian South Asian Growth & Support Services (CSAGSS),2020-05-28,https://www.volunteertoronto.ca/networking/apply_now.aspx?view=2&id=606645,"

Canadian South Asian Growth & Support Services (CSAGSS) is a registered non-profit community-based organization, founded in 2013, in response to the growing needs of the ever-expanding immigrant population residing in Morningside (Scarborough) and the Greater Toronto Area.
We are currently looking for volunteers to deliver food to local seniors.
 
Requirements

Valid Driver's License
Own vehicle
While a Criminal Police Check or Vulnerable Sector Check is not mandatory, please let us know if you've already secured one

 
Time Commitment: Between 11 am and 2 pm, from June 3rd to 18th, 2020
 

"
Mover- York Region,"York Region, Ontario",Social Services and Poverty Reduction,Shelter Movers,2020-05-27,https://www.volunteertoronto.ca/networking/apply_now.aspx?view=2&id=598905,"

Description & Details
Shelter Movers provides moving and storage services at no cost to women and children fleeing abuse. We are the only organization of our kind in Canada, and our volunteers are no less exceptional. Every year, in collaboration with community partners, our volunteer teams contribute over 15,000 hours to support people transitioning to lives free of violence and abuse.
 
About The Mover Role:
Access to moving and storage services are a significant barrier to fleeing abuse. Movers use their time and energy to help our clients overcome these barriers. They are the ‘helping hands’ and ’boots on the ground’ that support our clients at a critical moment.
Shelter Movers’ volunteer move teams are a grassroots response to Violence Against Women in our communities. Join us!
 
Responsibilities:
Meet the volunteer team (including other Movers) at an arranged time and place
Move the client’s belongings in and out of vehicles
Transport belongings to a predetermined location
Maintain communication with Lead Mover and other Movers
Respect client confidentiality
Uphold Shelter Movers’ protocols and procedures
Be aware of trauma-informed care when interacting with clients (training will be provided)
Work with private security and law enforcement (led by Lead Mover) when necessary
Must be able to lift a minimum of 20lbs.
 
Children may accompany clients on a move, but volunteers do not provide child care and have limited interaction with children. Child care and supervision is provided by clients or our agency partners.
 
Time Commitment:
We offer flexible scheduling. Movers can join us on moves in two ways:
By signing up for one move at a time, as their schedules permit, and/or:
By committing to a regular weekly or monthly schedule
Most moves average around 4 hours, depending on distance and complexity. A minimum of 2 moves a month is encouraged.
Moves will be taking place in York Region.
 
Essential Skills & Knowledge:
No previous experience or education is required
Access to e-mail and phone
Able to lift a minimum of 20lbs
Able to lift moderately heavy boxes/furniture with a team of other movers
A driver's licence and ability to drive rental vehicles are strong assets
Reliable work habits
Maturity and good judgement
Ability to remain calm in potentially stressful situations
Ability to be flexible and adapt to changes
Strong verbal communication skills
Fluency in a second language is an asset
Movers are expected to maintain confidentiality and provide trauma-informed care to clients (training is provided), and have regular check-ins with staff to support continuous improvement.
 
As a Mover at Shelter Movers:
You’ll gain hands-on experience on the front lines of our organization, providing moving and storage services for our clients.
You’ll receive training in preparation for your role, and have access to ongoing training opportunities.
You’ll work with a great team of passionate volunteers and supporters.
Movers who complete 6 moves within the previous 3 months can receive a confirmation of volunteering.
 
Shelter Movers volunteers must be at least 18 years of age, complete an interview process, attend an orientation for new volunteers, in addition to signing a confidentiality agreement and obtaining a criminal record check.

"
COVID-19: Grant Writer,"Ajax, Ontario",COVID-19 Response,Victory Neighbourhood Services Inc.,2020-05-26,https://www.volunteertoronto.ca/networking/apply_now.aspx?view=2&id=606368,"

Victory Neighbourhood Services Inc. is a registered charity focused on teaching and mentoring youth in the Ajax community through various after-school and camp programs. 
We are in need of a Grant Writer to volunteer remotely and help us secure funding for a new youth counselling program that will allow local children to cope with the COVID crisis.
 
Requirements:

At least 1 year experience with grant writing 
Good communication skills 
Previous experience with fundraising 
Valid Criminal Police Check

 
Time Commitment: 10 hours per week

"
"COVID-19: Meal Delivery, Marketing, and Translation Volunteers","Toronto, Ontario",COVID-19 Response,Feeding Our Frontlines,2020-05-26,https://www.volunteertoronto.ca/networking/apply_now.aspx?view=2&id=606365,"

Feeding Our Frontlines facilitates donations to purchase meals from local restaurants for individuals on the front lines fighting COVID-19. Together, we are stimulating our economy, helping local restaurants emerge triumphant from the COVID-19 pandemic, and supporting our healthcare heroes who are putting their lives on the line for us all.
You can help with:

Meal delivery
Fundraising
Written content translation (English to Mandarin, Cantonese, French, Korean, Punjabi, or Tagalog/Filipino)
Social media marketing
Outreach to prospective restaurant or healthcare partners


"
Weekday Packers for Grocery Care Kits,"Toronto, Ontario",COVID-19 Response,Hand Up Toronto & Global Medic,2020-05-25,https://www.volunteertoronto.ca/networking/apply_now.aspx?view=2&id=606292,"


Hand Up for Kids is a program created in response to COVID – 19 to alleviate food insecurity for families who have been impacted by this pandemic. Our goal is to provide groceries to low income households with children that are in need, especially at this time.

The first step in the process is to prepare packaged bulk items for the grocery care kits. We have partnered with Global Medic who host 5 volunteers Monday - Thursday at their warehouse. Volunteers spend the morning or afternoon assembling boxes, portioning, packaging, taping and labeling boxes for families. These then go out to families on the weekend. 
 
Are you free for a few hours during the week? We have opportunities Monday - Thursday, though especially need help Mondays and Tuesdays as we tend to get fewer volunteers those days. 
 
Morning shifts are 9am - 12:30pm and afternoon shifts are 1pm-4:30pm. The warehouse is located in Etobicoke. 



"
COVID-19: Board Member,"Etobicoke, Toronto, North York, and Scarborough, Ontario",COVID-19 Response,Chess Institute of Canada,2020-05-25,https://www.volunteertoronto.ca/networking/apply_now.aspx?view=2&id=606291,"

Chess Institute of Canada is a charitable organization that instills positive approaches to life’s challenges by using chess as a vehicle to cultivate the development of essential insights and skills. Bringing chess to life happens through:

In-school chess curriculum classes and extra-curricular chess clubs
One-day tournaments and week-long day camps for elementary school children
Innovative community programs for at-risk youth


When schools closed down in response to the COVID-19 pandemic, we began offering live online classes for our regular chess club participants, as well as individual workshops and weekly series for all ages and levels.
 
We are looking for volunteers to serve on our Board of Directors.
 
Desired skills and attributes:

Interested in teaching children (with a particular focus on life skills)
Background in IT, teaching an asset
Experience and interest in chess and gaming an asset
All ages welcome
A Vulnerable Sector Check is required only if you also wish to be involved in directly teaching children chess online

 
Time Commitment: 2-3 hours per week, mostly evenings

"
