Position,Location,Category,Organization,Date Posted,Websites,Description
Social Media Coordinator,"Toronto, Ontario","Marketing, Communications, and Fundraising",Single Mothers in Progress,2020-07-03,https://www.volunteertoronto.ca/networking/apply_now.aspx?view=2&id=606576,"

 
We are looking for a Social Media Coordinator to help our team in managing and monitoring all our social media platforms. 
Responsibilities:


Strategy


Campaign planning     


Goals and deadlines settings


Online    reputation building


Coordinates creation and promotion of content and campaigns


Ensures team work properly     




**This position is opened for Co-op students

"
Social Media Content Creator,"Toronto, Ontario","Marketing, Communications, and Fundraising",Single Mothers in Progress,2020-07-03,https://www.volunteertoronto.ca/networking/apply_now.aspx?view=2&id=607810,"

 
Responsibilities and skills:


Creates content


Publishes content on all our networks


Collaborate with graphic designer


Understanding of social media management and SEO basics


Research skills   




**This position is opened for Co-op students

"
Social Media Community Manager,"Toronto, Ontario","Marketing, Communications, and Fundraising",Single Mothers in Progress,2020-07-03,https://www.volunteertoronto.ca/networking/apply_now.aspx?view=2&id=607811,"

 
Responsibilities:


Engage in all conversations about SMIP or at our SMIP Social Media pages


Manage all conversations through social media


Build customer relationships


Ability to write content with wit


Must learn everything about our programs


Must know our key employees 




"
Marketing Coordinator,"Toronto, Ontario","Marketing, Communications, and Fundraising",Single Mothers in Progress,2020-07-03,https://www.volunteertoronto.ca/networking/apply_now.aspx?view=2&id=599705,"

 
Markets products by developing and implementing marketing and advertising campaigns; tracking sales data; maintaining promotional materials inventory; planning meetings and trade shows; maintaining databases; preparing reports.


Duties:


Implements marketing and advertising campaigns; preparing marketing and advertising strategies, plans, and objectives; planning and organizing promotional presentations; updating calendars.



Prepares marketing reports by collecting, analyzing, and summarizing data.


Plans meetings by identifying, assembling, and coordinating requirements; establishing contacts; developing schedules and assignments; coordinating mailing lists. 


Monitors budgets by comparing and analyzing actual results with plans and forecasts. 


Updates job knowledge by participating in educational opportunities; reading trade publications. 


Accomplishes organizational goals by accepting ownership for accomplishing new and different requests; exploring opportunities to add value to job accomplishments. 




Skills/Qualifications: 


Direct Marketing


Market Segmentation


Marketing Research 


Coordination


Project Management


Reporting Research Results


Understanding the Customer


Process Improvement


Initiative


Planning


Financial Skills


 
This position is also opened for Co-op students. 



"
Intake Worker - OVERNIGHT SHIFTS,"Toronto, Ontario",Social Services and Poverty Reduction,Single Mothers in Progress,2020-07-03,https://www.volunteertoronto.ca/networking/apply_now.aspx?view=2&id=599789,"

 


    p { margin-bottom: 0.25cm; line-height: 115% }

 
**AT THIS TIME THIS POSITION IS FOR INDIVIDUALS INTERESTED IN WORKING OVERNIGHT SHIFTS**


***WHEN YOU APPLY, PLEASE STATE YOU ARE INTERESTED IN WORKING OVERNIGHT SHIFTS***
 
This position is also opened for Co-op students. 

 
Responsibilities:


Responsible for establishing a professional and supportive “first contact” for mothers wanting to access services


Conduct professionally initial intake assessment, maintaining strict confidentiality


Performing client service registration, data input 


Book appointments into the schedules of appropriate settlement staff


Facilitate appropriate internal/external referrals to services required by clients


Actively participate in regular team meetings


Provide backup support and coverage for administrative team members as required


Prepare and submit timely statistical and progress reports


Meet all program goals as assigned


Other related duties as required


Schedule appointments with existing, and new clients


Send faxes, and emails to corresponding companies to help complete files on behalf of the clients


Answer phones and respond to clients' requests and concerns


Follow up on clients' files that weren't immediately completed


Provide clients with information on programs and services


**AT THIS TIME THIS POSITION IS FOR INDIVIDUALS INTERESTED IN WORKING OVERNIGHT SHIFTS**


***WHEN YOU APPLY, PLEASE STATE YOU ARE INTERESTED IN WORKING OVERNIGHT SHIFTS***

"
Intake Manager,"Toronto, Ontario",Administration and Customer Service,Single Mothers in Progress,2020-07-03,https://www.volunteertoronto.ca/networking/apply_now.aspx?view=2&id=603615,"

 
Intake managers must be able to manage daily activities and may work with case managers in addition to clients. They may perform a variety of duties, speak with families to ensure that they get the assistance and specialized services they need. They may also be responsible for daily logs and maintaining supply inventory, coordinating referrals, and communicating with other professionals. 
Responsibilities:


Supervise and train on all intake processes and lead by example.


Handle disgruntled clients, crises and disagreements.


Coordinate and implement marketing promotions and inform staff.


Document budget, processes, standard procedures and emergency plans.


*This position is also opened for co-op students


"
Grant Writer,"Toronto, Ontario","Marketing, Communications, and Fundraising",Single Mothers in Progress,2020-07-03,https://www.volunteertoronto.ca/networking/apply_now.aspx?view=2&id=603616,"

 
Seeking someone who is experienced in writing grants.
 
This position is also opened for Co-op students. 
 
Responsibilities:


Maintaining a strong knowledge of the organization’s history and programs.


Identifying grant / funding / awards / sponsorship opportunities.


Writing, submitting, and managing grant / funding proposals.


Find opportunities for press, placement, and awards, etc.


Ensuring that prospective funders have supporting documents


Managing records of hard copies and computer databases.


Submit monthly reports.


Complete assignments, goals, and projects week to week.


Initiative in both independent work and team-oriented work.


Passion for non-profit, storytelling, and making a difference.



"
Graphic Designer,"Toronto, Ontario","Marketing, Communications, and Fundraising",Single Mothers in Progress,2020-07-03,https://www.volunteertoronto.ca/networking/apply_now.aspx?view=2&id=599786,"

 
 Responsibilities:

Create designs, concepts, and sample layouts based on knowledge of layout principles and esthetic design concepts.
Determine size and arrangement of illustrative material and copy and select style and size of type.
Use computer software to generate new images.
Mark up, paste, and assemble final layouts to prepare layouts for printer.
Draw and print charts, graphs, illustrations, and other artwork, using a computer.
Review final layouts and suggest improvements as needed.
Confer with clients to discuss and determine layout design.
Develop graphics and layouts for product illustrations, company logos, and Internet websites.
Key information into computer equipment to create layouts for clients or supervisors.
Prepare illustrations or rough sketches of material, discussing them with clients and/or supervisors and making necessary changes.
Study illustrations and photographs to plan the presentation of materials, products, or services.
Prepare notes and instructions for workers who assemble and prepare final layouts for printing.
Develop negatives and prints to produce layout photographs, using negative and print developing equipment and tools.
Photograph layouts, using a camera, to make layout prints for supervisors or clients.
Produce still and animated graphics for on-air and taped portions of television news broadcasts, using electronic video equipment.


"
Fundraising Coordinator,"Toronto, Ontario",Administration and Customer Service,Single Mothers in Progress,2020-07-03,https://www.volunteertoronto.ca/networking/apply_now.aspx?view=2&id=603585,"

Typical work activities


Motivating and facilitating supporters to maximize the funds they raise


Inspiring new supporters to raise money, while maintaining and developing relationships with existing supporters


Developing new and imaginative fundraising activities


Raising awareness of the charity and its work, at both the local and national level 


Organizing traditional activities, such as house-to-house collections of donated goods and money


Developing and coordinating web-based fundraising, online auctions and merchandise sales;


Working with all forms of media, and helping produce supporting materials such as posters, websites, and newsletters to promote, market and advertise forthcoming events;


Increasing funds by researching and targeting charitable trusts whose criteria match the charity's aims and activities;


Developing and implementing a strategy for individual and corporate supporter recruitment and development;


Overseeing corporate fundraising


Managing and updating databases to record donor contact and preference information;


Preparing mail-shots and correspondence;


Writing applications and mail-shots, using direct mailing to reach a wide range of potential and current donors;


 
     This position is also opened for Co-op students.



"
Customer Support Representative ,"Toronto, Ontario",Administration and Customer Service,Single Mothers in Progress,2020-07-03,https://www.volunteertoronto.ca/networking/apply_now.aspx?view=2&id=603622,"

 
At this time this position is for individuals interested in working overnights.
This position is also opened for Co-op students. 

We are looking for Customer Support Representatives to manage customer queries and complaints. You will also be asked to process orders, modifications, and escalate complaints across a number of communication channels. To do well in this role you need to be able to remain calm when customers are frustrated and have experience working with computers.
Responsibilities:


Maintaining a positive, empathetic and professional attitude toward customers at all times.


Responding promptly to customer inquiries.


Communicating with customers through various channels.


Acknowledging and resolving customer complaints.


Processing orders, forms, applications, and requests.


Keeping records of customer interactions, transactions, comments and complaints.


Communicating and coordinating with colleagues as necessary.


Providing feedback on the efficiency of the customer service process.


Ensure customer satisfaction and provide professional customer support.



"
Counsellor ,"Toronto, Ontario",Social Services and Poverty Reduction,Single Mothers in Progress,2020-07-03,https://www.volunteertoronto.ca/networking/apply_now.aspx?view=2&id=599830,"

We are searching for a skilled Counselor to help provide direction and support to our mothers and children. You will actively help clients build coping mechanisms to guide them through stressful situations. Your duties will also include listening to clients, asking necessary questions, and developing effective strategies to improve their lives.
Excellent verbal and written communication skills are essential, along with the ability to coordinate with support networks, government resources, and community resources that are also working with your families. The successful candidate will also be friendly and professional, with outstanding people skills.
This position is also opened for Co-op students. 

Responsibilities:


Assess families through detailed conversations, interviews, and observations to determine the appropriate testing or examination.


Diagnose patient’s mental and emotional disorders.


Create effective treatment plans that include counseling, medication, or other services.


Work with your families and develop goals.


Regularly discuss the treatment plan with your mothers and children to identify faults or room for improvement.


Educate appropriate coping mechanisms to help clients through tough situations.


Record the patient’s progress and change their treatment plan when needed.





"
Administrative Assistant - Saturday shifts 10-4pm,"Toronto, Ontario",Administration and Customer Service,Single Mothers in Progress,2020-07-03,https://www.volunteertoronto.ca/networking/apply_now.aspx?view=2&id=607804,"

 
Administrative Assistants provide support to managers, other employees, and office visitors by handling a variety of tasks in order to ensure that all interactions between the organization and others are positive and productive.


The core duties and responsibilities of an Administrative Assistant revolve around supporting others. Their job duties can vary widely, not just from job to job, but from day to day at the same job. 


On any given day, they may perform a variety of tasks, such as:


Answer phones and greet visitors


Schedule appointments and maintain calendars


Schedule and coordinate staff and other meetings


Collate and distribute mail


Prepare communications, such as memos, emails, invoices, reports and other correspondence


Write and edit documents from letters to reports and instructional documents


Create and maintain filing systems, both electronic and physical


Manage accounts and perform bookkeeping

    ***At this time we are looking for volunteers to work at the Saturday shifts, from 10-4pm***





          **This position is also opened for Co-op students

"
Kitchen Assistant / Cook (COVID),"Toronto, Ontario",COVID-19 Response,Yonge Street Mission,2020-07-02,https://www.volunteertoronto.ca/networking/apply_now.aspx?view=2&id=609628,"


MAKE A DIFFERENCE AS A KITCHEN ASSISTANT/ COOK VOLUNTEER!
This volunteer role will assist our Yonge Street Mission (YSM) kitchen staff with food prep, cooking, and packaging/providing nourishing meals for our community members. The role will also assist with the vital work of YSM to mitigate the effects of COVID-19, as we continue to serve those who are most vulnerable during this unprecedented time in our history

YSM follows the Public Health protocols for safety and expect volunteers to operate under the same approach. YSM also provides volunteers with gloves, cloth face masks, and other safety supplies; as well as safety/volunteer training/ongoing support.
VOLUNTEER DUTIES

Prepping, cooking and packaging food
Store leftover food as directed and required in a safe and responsible manner
Clear up and wash dishes, pots and other kitchen items
Sanitize kitchen and surrounding area, and keep those areas as neat and organized as possible
Use all safe and appropriate food-handling techniques and processes
Maintain personal hygiene to work in a kitchen environment (eg: clean hands, hair net, apron, etc)
Volunteer Assets: Food Handlers certification and previous kitchen, food preparation and service experience 

VOLUNTEER SHIFTS: 
Pick ONE of the following shifts

Monday 9:30am to 2pm
 Tuesday 9:30am to 2pm
Wednesday 9:30am to 2pm


Thursday 9:30am to 2pm


Friday 9:30am to 2pm

OTHER INFORMATION:

Location: 365 Spadina Ave, Toronto ON (Major Intersection, Spadina & College)
Physical Requirements: This is a very physical role, and volunteers must be able to lift( 50 pounds), bend, stand and walk around building.


Age Requirement: Must be over 18+ years old

HOW TO APPLY:
Email dbailey@ysm.ca noting Kitchen Assistant/ Cook"" in the subject line.

"
Executive Director Administrative Assistant - International Offices,"Toronto, Ontario",Administration and Customer Service,Single Mothers in Progress,2020-07-01,https://www.volunteertoronto.ca/networking/apply_now.aspx?view=2&id=609456,"

 
We are looking for an Executive Director Administration Assistant to work closely with the Executive Director. This position will have you working on social media, marketing, and promotion for Single Mothers in Progress programs at our International Offices in Jamaica and Uganda.


The role:


• Promoting the Single Mother’s in Progress, on the phone and email.
• Developing project plans and providing status updates.
• Providing Internet research
• Developing social media communications content
• Building relationships with sponsors and partners
• Developing marketing plans and promotional materials
• Coordinating interviews and writing stories for media, newsletters, and sponsors.
• Organizing meetings and completing documentation (Committee's and ER Directors)


Qualifications:


• Passionate about the environment
• Understanding or background in journalism, promotion or marketing
• Good written and oral communication in English (French is an asset)
• Well-organized, independent worker with good ideas and a ""can do"" attitude


Ideally, you:


• Own a laptop and have Internet access
• Event and administrative experience
• Love networking
• Able to multitask
• Have some experience as an Exec Admin or in promotions and marketing for events.
• Might be in school, might not, but want the experience
• Are flexible, positive, patient and willing to learn

"
Administration Manager - International Offices,"Toronto, Ontario",Administration and Customer Service,Single Mothers in Progress,2020-07-01,https://www.volunteertoronto.ca/networking/apply_now.aspx?view=2&id=609455,"

 
We are searching for a perceptive, creative Administrative Manager to oversee our international offices operations (Jamaica and Uganda) and administrative staff members. The Administrative Manager will hire, train, and evaluate administrative team members, develop, review, and improve policies, systems, and procedures, and generally ensure the office operates smoothly and efficiently. You will also assist in delegating tasks and tracking progress on projects, and planning and organizing a calendar of events, which may include training sessions, interviews, new hire orientations, and policy or procedure updates.
You should be analytical, knowledgeable, and organized with a proactive attitude and strong leadership skills.
Administrative Manager Responsibilities:


Supervising day-to-day operations of the administrative department and staff members.


Hiring, training, and evaluating employees, taking corrective action when necessary.


Developing, reviewing, and improving administrative systems, policies, and procedures.


Planning, scheduling, and promoting office events, including meetings, conferences, interviews, orientations, and training sessions.


Collecting, organizing, and storing information using computers and filing systems.


Overseeing special projects and tracking progress towards company goals.


Building new and expanding existing skills by engaging in educational opportunities.



"
Customer Support Representative - International Offices,"Toronto, Ontario",Administration and Customer Service,Single Mothers in Progress,2020-07-01,https://www.volunteertoronto.ca/networking/apply_now.aspx?view=2&id=609454,"

 
We are looking for Customer Support Representatives to manage customer queries and complaints at our international offices in Jamaica and Uganda. You will also be asked to process orders, modifications, and escalate complaints across a number of communication channels. To do well in this role you need to be able to remain calm when customers are frustrated and have experience working with computers.
This position is also opened for Co-op students. 
Responsibilities:


Maintaining a positive, empathetic and professional attitude toward customers at all times.


Responding promptly to customer inquiries.


Communicating with customers through various channels.


Acknowledging and resolving customer complaints.


Processing orders, forms, applications, and requests.


Keeping records of customer interactions, transactions, comments and complaints.


Communicating and coordinating with colleagues as necessary.


Providing feedback on the efficiency of the customer service process.


Ensure customer satisfaction and provide professional customer support.



"
General Manager - International Offices - JAMAICA AND UGANDA,"Toronto, Ontario",Administration and Customer Service,Single Mothers in Progress,2020-07-01,https://www.volunteertoronto.ca/networking/apply_now.aspx?view=2&id=609453,"

 



 



 

We are looking for a General Manager to oversee all staff, budgets and operations at our International Offices in Jamaica and Uganda.

 
General Manager responsibilities include formulating overall strategy, managing people and establishing policies. To be successful in this role, you should be a thoughtful leader and a confident decision-maker, helping our people develop and be productive.
Ultimately, you’ll help our company grow and thrive.
This position is also opened for Co-op students. 
Responsibilities
 




Oversee day-to-day operations


Design strategy and set goals for growth


Maintain budgets and optimize expenses


Set policies and processes


Ensure employees work productively and develop professionally


Oversee recruitment and training of new employees


Evaluate and improve operations and financial performance


Direct the employee assessment process


Prepare regular reports for upper management


Ensure staff follows health and safety regulations


Provide solutions to issues (e.g. employee conflicts)




 

"
Volunteer Drivers For Cat Rescue,"GTA, Ontario",Driving and Transportation,Abbey Cat Adoptions,2020-07-01,https://www.volunteertoronto.ca/networking/apply_now.aspx?view=2&id=443545,"

Abbey Cat Adoptions is looking for responsible and flexible drivers who can transport cats and kittens between foster homes and veterinary visits.
 
Responsibilities:
·         Drive cats/kittens to and from designated destinations ensuring their safe and punctual arrival
·         Correspond with ACA Transportation Coordinator and provide updates on your availability and distance preferences
 
 
Qualifications:
·         Valid G class Ontario Driver's License with clean driving record
·         Access to a reliable vehicle
·         Ability to provide cat carrier an asset but not required
·         Enthusiastic and passionate about the Abbey Cats mission
 
Time Commitment:
·         2-3 hours per week, more or less depending on ad-hoc nature of requests
·         Flexible hours based on your schedule
·         Long term commitment ideal, 6 months or more
 
Benefits:
·         Be an integral part of the ACA Team
·         Save lives by helping to find forever homes for each Abbey Cat
·         Drivers’ mileage can be calculated and submitted for a tax receipt at year end
 
About Abbey Cats Adoptions:
Abbey Cat Adoptions is a non-profit organization dedicated to finding permanent homes for abandoned cats and kittens in Toronto and the GTA.  Since 2002, we have been working closely with foster homes and potential adopters to find a suitable match between families and their new pet. Our website is www.abbeycats.org

If you are interested in volunteering with Abbey Cats, please fill out a volunteer application or call us at (416) 284-2140.



"
Foster Coordinator,"Mississauga, Ontario",Environment and Animals,Abbey Cat Adoptions,2020-07-01,https://www.volunteertoronto.ca/networking/apply_now.aspx?view=2&id=580861,"

Abbey Cats Adoptions is looking for a passionate and committed volunteer to provide support to our family of foster parents and help to screen new foster applicants.
 
Responsibilities:

Develop relationships with new and existing foster homes
Check the main line for incoming foster inquiries and respond to requests in a time sensitive fashion via telephone/email
Respond to incoming applications from potential fosters from our website
Respond to all foster parent concerns as soon as possible
Frequent check-ins with new foster parents and existing placements
Consult with senior members of the ACA Team regularly

 
Qualifications:

Good communications skills
Organized and detail-oriented
Knowledge of cat and kitten care preferred (will train)
Experience with MS Word, Excel, Google Docs
Enthusiastic and passionate about the Abbey Cats mission

 
Time Commitment:

Approximately 8-10 hours per week
Long term commitment ideal, 6 months or more.

 
Benefits:

Be an integral part of the ACA Team
Save lives by helping to find forever homes for each Abbey Cat
Volunteer from home (work is done predominately by phone and email)
Training provided

If you are interested in volunteering with Abbey Cats, please fill out a volunteer application or call us at (416) 284-2140 

"
