Position,Location,Description,Organization,Deadline,Websites
Packing and Organizing + Serving, 815 St. Laurent Blvd,"This position is to help in our food bank distribution area to pack and organize goods. 


The shift is usually:

Wednesday's 8:30-12:00 

Friday's 9:00-12:00


Client Service is usually on Wednesday's 1:00 pm - 5:00pm


The volunteer should be able to move and load heavy boxes. ", Rideau-Rockcliffe Community Resource Centre," Jun 30, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?search_params=meta_interests%2523_set_1=COVID-19%2BVirtual%2BVolunteering%26meta_clientele%2523_set_0%26meta_language%2523_set_0%26meta_interests%2523_set_2=COVID-19%2BLight%2BTouch%2BVolunteering%26meta_volunteer_time_commitment%2523_set_0%26meta_position_target_audience%2523_set_0%26section_id=1%26meta_availability%2523_set_0%26meta_org_category%2523_set_0%26meta_location%2523_set_0%26_keyword%26type=volunteer_opportunity%26log=do_search_form%26meta_interests%2523_set_3=COVID-19%2BHigh%2BTouch%2BVolunteering%26meta_interests%2523_set_0&meta_language%23_set_0&log_id=43063&meta_position_target_audience%23_set_0&meta_org_category%23_set_0&log=view&meta_interests%23_set_3=COVID-19+High+Touch+Volunteering&meta_interests%23_set_0&meta_interests%23_set_1=COVID-19+Virtual+Volunteering&meta_clientele%23_set_0&meta_interests%23_set_2=COVID-19+Light+Touch+Volunteering&meta_volunteer_time_commitment%23_set_0&section_id=1&meta_availability%23_set_0&meta_location%23_set_0&_keyword&type=volunteer_opportunity
Receiving and Sorting , 815 St. Laurent Blvd,This position is to help in our food bank distribution area to Sort and receive goods. The shift is usually on Tuesday's from 9-2. The volunteer should be able to move and load heavy boxes. , Rideau-Rockcliffe Community Resource Centre," Jun 30, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?search_params=meta_interests%2523_set_1=COVID-19%2BVirtual%2BVolunteering%26meta_clientele%2523_set_0%26meta_language%2523_set_0%26meta_interests%2523_set_2=COVID-19%2BLight%2BTouch%2BVolunteering%26meta_volunteer_time_commitment%2523_set_0%26meta_position_target_audience%2523_set_0%26section_id=1%26meta_availability%2523_set_0%26meta_org_category%2523_set_0%26meta_location%2523_set_0%26_keyword%26type=volunteer_opportunity%26log=do_search_form%26meta_interests%2523_set_3=COVID-19%2BHigh%2BTouch%2BVolunteering%26meta_interests%2523_set_0&meta_language%23_set_0&log_id=43061&meta_position_target_audience%23_set_0&meta_org_category%23_set_0&log=view&meta_interests%23_set_3=COVID-19+High+Touch+Volunteering&meta_interests%23_set_0&meta_interests%23_set_1=COVID-19+Virtual+Volunteering&meta_clientele%23_set_0&meta_interests%23_set_2=COVID-19+Light+Touch+Volunteering&meta_volunteer_time_commitment%23_set_0&section_id=1&meta_availability%23_set_0&meta_location%23_set_0&_keyword&type=volunteer_opportunity
Packing and Receiving , 815 St. Laurent Blvd,This position is to help in our food bank distribution area to pack and receive goods. The shift is usually from 9-2. The volunteer should be able to move and load heavy boxes. , Rideau-Rockcliffe Community Resource Centre," Jun 30, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?search_params=meta_interests%2523_set_1=COVID-19%2BVirtual%2BVolunteering%26meta_clientele%2523_set_0%26meta_language%2523_set_0%26meta_interests%2523_set_2=COVID-19%2BLight%2BTouch%2BVolunteering%26meta_volunteer_time_commitment%2523_set_0%26meta_position_target_audience%2523_set_0%26section_id=1%26meta_availability%2523_set_0%26meta_org_category%2523_set_0%26meta_location%2523_set_0%26_keyword%26type=volunteer_opportunity%26log=do_search_form%26meta_interests%2523_set_3=COVID-19%2BHigh%2BTouch%2BVolunteering%26meta_interests%2523_set_0&meta_language%23_set_0&log_id=42949&meta_position_target_audience%23_set_0&meta_org_category%23_set_0&log=view&meta_interests%23_set_3=COVID-19+High+Touch+Volunteering&meta_interests%23_set_0&meta_interests%23_set_1=COVID-19+Virtual+Volunteering&meta_clientele%23_set_0&meta_interests%23_set_2=COVID-19+Light+Touch+Volunteering&meta_volunteer_time_commitment%23_set_0&section_id=1&meta_availability%23_set_0&meta_location%23_set_0&_keyword&type=volunteer_opportunity
Appointment Scheduler, 815 St. Laurent Blvd,"Shifts are Mondays (1-4), Tuesday (9-11) and Wednesdays (9-4) 


This position is in our building and not virtual, training is provided.

bilingualism is ESSENTIAL.


", Rideau-Rockcliffe Community Resource Centre," Jun 30, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?search_params=meta_interests%2523_set_1=COVID-19%2BVirtual%2BVolunteering%26meta_clientele%2523_set_0%26meta_language%2523_set_0%26meta_interests%2523_set_2=COVID-19%2BLight%2BTouch%2BVolunteering%26meta_volunteer_time_commitment%2523_set_0%26meta_position_target_audience%2523_set_0%26section_id=1%26meta_availability%2523_set_0%26meta_org_category%2523_set_0%26meta_location%2523_set_0%26_keyword%26type=volunteer_opportunity%26log=do_search_form%26meta_interests%2523_set_3=COVID-19%2BHigh%2BTouch%2BVolunteering%26meta_interests%2523_set_0&meta_language%23_set_0&log_id=42948&meta_position_target_audience%23_set_0&meta_org_category%23_set_0&log=view&meta_interests%23_set_3=COVID-19+High+Touch+Volunteering&meta_interests%23_set_0&meta_interests%23_set_1=COVID-19+Virtual+Volunteering&meta_clientele%23_set_0&meta_interests%23_set_2=COVID-19+Light+Touch+Volunteering&meta_volunteer_time_commitment%23_set_0&section_id=1&meta_availability%23_set_0&meta_location%23_set_0&_keyword&type=volunteer_opportunity
Silent Auction Specialist," 1777 Tenth Line Rd

Orleans, On","The Silent Auction Specialist is responsible in recognizing gems found in the vast amount of donations and knowing how to display them to capitalize on the value of the items and making sales for the store. 


Qualifications:

Knowledge, Skills and Abilities

·	Recognizing value in antiques, vintage and other specialty items that could get attention and higher bids.

·	An ability in knowing how to make products look appealing

·	Experience working with volunteers

·	Good organizational and prioritizing skills

·	Ability to be on your feet and active

·	Good verbal communication skills

·	Professionalism and respect

·	Displays a level of trustworthiness and integrity

·	Proven ability to show initiative


Experience: Experience in a retail setting; experience with non-profit/voluntary sector would also be considered an asset.
", Mission Thrift Store Orleans," Jun 30, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?search_params=meta_interests%2523_set_1=COVID-19%2BVirtual%2BVolunteering%26meta_clientele%2523_set_0%26meta_language%2523_set_0%26meta_interests%2523_set_2=COVID-19%2BLight%2BTouch%2BVolunteering%26meta_volunteer_time_commitment%2523_set_0%26meta_position_target_audience%2523_set_0%26section_id=1%26meta_availability%2523_set_0%26meta_org_category%2523_set_0%26meta_location%2523_set_0%26_keyword%26type=volunteer_opportunity%26log=do_search_form%26meta_interests%2523_set_3=COVID-19%2BHigh%2BTouch%2BVolunteering%26meta_interests%2523_set_0&meta_language%23_set_0&log_id=42936&meta_position_target_audience%23_set_0&meta_org_category%23_set_0&log=view&meta_interests%23_set_3=COVID-19+High+Touch+Volunteering&meta_interests%23_set_0&meta_interests%23_set_1=COVID-19+Virtual+Volunteering&meta_clientele%23_set_0&meta_interests%23_set_2=COVID-19+Light+Touch+Volunteering&meta_volunteer_time_commitment%23_set_0&section_id=1&meta_availability%23_set_0&meta_location%23_set_0&_keyword&type=volunteer_opportunity
Cleaner," 1777 Tenth Line rd

Orleans,  On","Provide cleaning services to the store to keep the premises safe for customers, staff and volunteers.


There are several areas of cleaning that can be shared between volunteers such as carts, counters, change rooms, kitchen, floors, windows, bathrooms, garbage, shelves and racks.", Mission Thrift Store Orleans," Jun 30, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?search_params=meta_interests%2523_set_1=COVID-19%2BVirtual%2BVolunteering%26meta_clientele%2523_set_0%26meta_language%2523_set_0%26meta_interests%2523_set_2=COVID-19%2BLight%2BTouch%2BVolunteering%26meta_volunteer_time_commitment%2523_set_0%26meta_position_target_audience%2523_set_0%26section_id=1%26meta_availability%2523_set_0%26meta_org_category%2523_set_0%26meta_location%2523_set_0%26_keyword%26type=volunteer_opportunity%26log=do_search_form%26meta_interests%2523_set_3=COVID-19%2BHigh%2BTouch%2BVolunteering%26meta_interests%2523_set_0&meta_language%23_set_0&log_id=42708&meta_position_target_audience%23_set_0&meta_org_category%23_set_0&log=view&meta_interests%23_set_3=COVID-19+High+Touch+Volunteering&meta_interests%23_set_0&meta_interests%23_set_1=COVID-19+Virtual+Volunteering&meta_clientele%23_set_0&meta_interests%23_set_2=COVID-19+Light+Touch+Volunteering&meta_volunteer_time_commitment%23_set_0&section_id=1&meta_availability%23_set_0&meta_location%23_set_0&_keyword&type=volunteer_opportunity
Recycler," 1777 Tenth Line Rd

Orleans, On","The Recycler is someone that is responsible for the recycling program that we have in the store. There are 7 categories of recycling that this position could either focus on 1 or all of the categories depending on their abilities. The categories are: metal, e-waste, plastics, glass, clothing, cardboard and fiber. 


Training is provided.", Mission Thrift Store Orleans," Jun 30, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?search_params=meta_interests%2523_set_1=COVID-19%2BVirtual%2BVolunteering%26meta_clientele%2523_set_0%26meta_language%2523_set_0%26meta_interests%2523_set_2=COVID-19%2BLight%2BTouch%2BVolunteering%26meta_volunteer_time_commitment%2523_set_0%26meta_position_target_audience%2523_set_0%26section_id=1%26meta_availability%2523_set_0%26meta_org_category%2523_set_0%26meta_location%2523_set_0%26_keyword%26type=volunteer_opportunity%26log=do_search_form%26meta_interests%2523_set_3=COVID-19%2BHigh%2BTouch%2BVolunteering%26meta_interests%2523_set_0&meta_language%23_set_0&log_id=42707&meta_position_target_audience%23_set_0&meta_org_category%23_set_0&log=view&meta_interests%23_set_3=COVID-19+High+Touch+Volunteering&meta_interests%23_set_0&meta_interests%23_set_1=COVID-19+Virtual+Volunteering&meta_clientele%23_set_0&meta_interests%23_set_2=COVID-19+Light+Touch+Volunteering&meta_volunteer_time_commitment%23_set_0&section_id=1&meta_availability%23_set_0&meta_location%23_set_0&_keyword&type=volunteer_opportunity
Tester," 1777 Tenth Line Rd

Orleans, On","We need people that could test the electrical and electronic products that we receive as donations to make sure they work properly for resale. If they do not work, if they can be repaired for resale or sent for our recycling program. 


Qualifications:

Knowledge in electrical devices and/or electronic devices to be able to test effectively the products.
", Mission Thrift Store Orleans," Jun 30, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?search_params=meta_interests%2523_set_1=COVID-19%2BVirtual%2BVolunteering%26meta_clientele%2523_set_0%26meta_language%2523_set_0%26meta_interests%2523_set_2=COVID-19%2BLight%2BTouch%2BVolunteering%26meta_volunteer_time_commitment%2523_set_0%26meta_position_target_audience%2523_set_0%26section_id=1%26meta_availability%2523_set_0%26meta_org_category%2523_set_0%26meta_location%2523_set_0%26_keyword%26type=volunteer_opportunity%26log=do_search_form%26meta_interests%2523_set_3=COVID-19%2BHigh%2BTouch%2BVolunteering%26meta_interests%2523_set_0&meta_language%23_set_0&log_id=42706&meta_position_target_audience%23_set_0&meta_org_category%23_set_0&log=view&meta_interests%23_set_3=COVID-19+High+Touch+Volunteering&meta_interests%23_set_0&meta_interests%23_set_1=COVID-19+Virtual+Volunteering&meta_clientele%23_set_0&meta_interests%23_set_2=COVID-19+Light+Touch+Volunteering&meta_volunteer_time_commitment%23_set_0&section_id=1&meta_availability%23_set_0&meta_location%23_set_0&_keyword&type=volunteer_opportunity
Merchandiser," 1777 Tenth Line Rd

Orleans, On","The Merchandiser is responsible in keeping the store beautiful by finding ways to improve how the products are presented to the customers. There is a need to position products and maintain a visually pleasing display in all departments throughout the day as customers continuously changes it. Making sure the racks and shelves are full but not over flowing.


Qualifications:

Knowledge, Skills and Abilities

·	An ability in knowing how to make products look appealing

·	Experience working with volunteers

·	Good organizational and prioritizing skills

·	Ability to be on your feet and active

·	Good verbal communication skills

·	Professionalism and respect

·	Displays a level of trustworthiness and integrity

·	Proven ability to show initiative


Experience: Experience in a retail setting; experience with non-profit/voluntary sector would also be considered an asset.
", Mission Thrift Store Orleans," Jun 30, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?search_params=meta_interests%2523_set_1=COVID-19%2BVirtual%2BVolunteering%26meta_clientele%2523_set_0%26meta_language%2523_set_0%26meta_interests%2523_set_2=COVID-19%2BLight%2BTouch%2BVolunteering%26meta_volunteer_time_commitment%2523_set_0%26meta_position_target_audience%2523_set_0%26section_id=1%26meta_availability%2523_set_0%26meta_org_category%2523_set_0%26meta_location%2523_set_0%26_keyword%26type=volunteer_opportunity%26log=do_search_form%26meta_interests%2523_set_3=COVID-19%2BHigh%2BTouch%2BVolunteering%26meta_interests%2523_set_0&meta_language%23_set_0&log_id=42705&meta_position_target_audience%23_set_0&meta_org_category%23_set_0&log=view&meta_interests%23_set_3=COVID-19+High+Touch+Volunteering&meta_interests%23_set_0&meta_interests%23_set_1=COVID-19+Virtual+Volunteering&meta_clientele%23_set_0&meta_interests%23_set_2=COVID-19+Light+Touch+Volunteering&meta_volunteer_time_commitment%23_set_0&section_id=1&meta_availability%23_set_0&meta_location%23_set_0&_keyword&type=volunteer_opportunity
Warehouse Help," 1777 Tenth Line Rd

Orleans, On","Do you like to be busy & organize? If so, we need your help! We are blessed daily with donations that need to be sorted before we can sell it. This is a fast paced environment filled with lots of interesting finds in many departments!


Responsibilities:

Sort donations into appropriate categories

Training provided


Qualifications:

Great for retired people wanting to give back to the community.

Great for youth looking for volunteer/work experience (8-15 years with an adult)

Group volunteer opportunity up to 20 people/group


Benefits:

Gain great experience in the retail industry
", Mission Thrift Store Orleans," Jun 30, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?search_params=meta_interests%2523_set_1=COVID-19%2BVirtual%2BVolunteering%26meta_clientele%2523_set_0%26meta_language%2523_set_0%26meta_interests%2523_set_2=COVID-19%2BLight%2BTouch%2BVolunteering%26meta_volunteer_time_commitment%2523_set_0%26meta_position_target_audience%2523_set_0%26section_id=1%26meta_availability%2523_set_0%26meta_org_category%2523_set_0%26meta_location%2523_set_0%26_keyword%26type=volunteer_opportunity%26log=do_search_form%26meta_interests%2523_set_3=COVID-19%2BHigh%2BTouch%2BVolunteering%26meta_interests%2523_set_0&meta_language%23_set_0&log_id=42704&meta_position_target_audience%23_set_0&meta_org_category%23_set_0&log=view&meta_interests%23_set_3=COVID-19+High+Touch+Volunteering&meta_interests%23_set_0&meta_interests%23_set_1=COVID-19+Virtual+Volunteering&meta_clientele%23_set_0&meta_interests%23_set_2=COVID-19+Light+Touch+Volunteering&meta_volunteer_time_commitment%23_set_0&section_id=1&meta_availability%23_set_0&meta_location%23_set_0&_keyword&type=volunteer_opportunity
Cashier," 1777 Tenth Line rd

Orleans, On","Cashiers have one of the busiest jobs in our store! If you like a fast paced environment & like to stay busy, this volunteer role is for you!

*Training provided


Responsibilities:

Accept payment for goods

Greet & thank our customers


Experience Requirements:

Past retail experience an asset

Must be 16 years+


Desired Skills:

Mathematically inclined

Customer service skills


Qualifications:

Responsible and reliable", Mission Thrift Store Orleans," Jun 30, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?search_params=meta_interests%2523_set_1=COVID-19%2BVirtual%2BVolunteering%26meta_clientele%2523_set_0%26meta_language%2523_set_0%26meta_interests%2523_set_2=COVID-19%2BLight%2BTouch%2BVolunteering%26meta_volunteer_time_commitment%2523_set_0%26meta_position_target_audience%2523_set_0%26section_id=1%26meta_availability%2523_set_0%26meta_org_category%2523_set_0%26meta_location%2523_set_0%26_keyword%26type=volunteer_opportunity%26log=do_search_form%26meta_interests%2523_set_3=COVID-19%2BHigh%2BTouch%2BVolunteering%26meta_interests%2523_set_0&meta_language%23_set_0&log_id=42703&meta_position_target_audience%23_set_0&meta_org_category%23_set_0&log=view&meta_interests%23_set_3=COVID-19+High+Touch+Volunteering&meta_interests%23_set_0&meta_interests%23_set_1=COVID-19+Virtual+Volunteering&meta_clientele%23_set_0&meta_interests%23_set_2=COVID-19+Light+Touch+Volunteering&meta_volunteer_time_commitment%23_set_0&section_id=1&meta_availability%23_set_0&meta_location%23_set_0&_keyword&type=volunteer_opportunity
Receiver," 1777 Tenth Line Rd

Orleans, On","This is a job that requires speed and an extra ordinary passion for organization! Donations arrive daily in boxes and bags that need to be emptied, pre-sorted and sent to the various departments for sorting, pricing and stocking in store. You will be required to greet and thank everyone who brings a donation.


Responsibilities:

Donations must be sorted by category, and taken to the correct department. The receiving area must be kept clear, and the recycle items, cardboard and garbage taken to the appropriate locations.

Training is provided.


Qualifications:

Physically fit to carry out the responsibilities of the job.
", Mission Thrift Store Orleans," Jun 30, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?search_params=meta_interests%2523_set_1=COVID-19%2BVirtual%2BVolunteering%26meta_clientele%2523_set_0%26meta_language%2523_set_0%26meta_interests%2523_set_2=COVID-19%2BLight%2BTouch%2BVolunteering%26meta_volunteer_time_commitment%2523_set_0%26meta_position_target_audience%2523_set_0%26section_id=1%26meta_availability%2523_set_0%26meta_org_category%2523_set_0%26meta_location%2523_set_0%26_keyword%26type=volunteer_opportunity%26log=do_search_form%26meta_interests%2523_set_3=COVID-19%2BHigh%2BTouch%2BVolunteering%26meta_interests%2523_set_0&meta_language%23_set_0&log_id=42702&meta_position_target_audience%23_set_0&meta_org_category%23_set_0&log=view&meta_interests%23_set_3=COVID-19+High+Touch+Volunteering&meta_interests%23_set_0&meta_interests%23_set_1=COVID-19+Virtual+Volunteering&meta_clientele%23_set_0&meta_interests%23_set_2=COVID-19+Light+Touch+Volunteering&meta_volunteer_time_commitment%23_set_0&section_id=1&meta_availability%23_set_0&meta_location%23_set_0&_keyword&type=volunteer_opportunity
Retail Assistant," 1777 Tenth Line Rd

Orleans, On","BFM Foundation (Canada) is a national Christian organization with over 50 Mission Thrift Stores across Canada. The net revenue from all Mission Thrift Stores is devoted to the Joint Ministry of BFM Foundation (Canada) and Bible League Canada. These funds are used to establish adult literacy programs, provide church planter training, children’s ministry programs, and distribute Bibles in many places around the world. The stores are operated primarily by dedicated volunteers.


Mission Thrift Store Orleans is currently seeking an individual who understand and support the vision and purpose of BFM Foundation (Canada). 

The Retail Assistant will report to and assist the Store Manager.


Qualifications:

Knowledge, Skills and Abilities

·	Experience working with volunteers

·	Strong organizational and prioritizing skills

·	Ability be on your feet for extended periods and lift items

·	Excellent verbal communication skills

·	Professionalism and respect

·	Displays a high level of trustworthiness and integrity

·	Proven ability to show initiative and leadership


Experience: 

Experience in a retail setting; experience with non-profit/voluntary sector would also be considered an asset.
", Mission Thrift Store Orleans," Jun 30, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?search_params=meta_interests%2523_set_1=COVID-19%2BVirtual%2BVolunteering%26meta_clientele%2523_set_0%26meta_language%2523_set_0%26meta_interests%2523_set_2=COVID-19%2BLight%2BTouch%2BVolunteering%26meta_volunteer_time_commitment%2523_set_0%26meta_position_target_audience%2523_set_0%26section_id=1%26meta_availability%2523_set_0%26meta_org_category%2523_set_0%26meta_location%2523_set_0%26_keyword%26type=volunteer_opportunity%26log=do_search_form%26meta_interests%2523_set_3=COVID-19%2BHigh%2BTouch%2BVolunteering%26meta_interests%2523_set_0&meta_language%23_set_0&log_id=42701&meta_position_target_audience%23_set_0&meta_org_category%23_set_0&log=view&meta_interests%23_set_3=COVID-19+High+Touch+Volunteering&meta_interests%23_set_0&meta_interests%23_set_1=COVID-19+Virtual+Volunteering&meta_clientele%23_set_0&meta_interests%23_set_2=COVID-19+Light+Touch+Volunteering&meta_volunteer_time_commitment%23_set_0&section_id=1&meta_availability%23_set_0&meta_location%23_set_0&_keyword&type=volunteer_opportunity
Driver & Deliveries," 1777 Tenth Line Rd

Orleans, On","The Volunteer Driver is responsible for the pickup of donations and deliveries of purchased furniture as well as receiving donations at the store. The volunteer must be willing to advocate for the Mission Thrift Store and maintain a positive and professional working atmosphere.


Responsibilities

·	Drive the Mission Thrift Store vehicle for pickups and deliveries

·	Load & unload donated goods

·	Screen for product usability 

Experience Requirements

·	Must have a valid driver’s license 

·	Acceptable Drivers Abstract

·	10+ years driving experience 

Desired Skills

·	Professional driving skills

·	Communicate in a professional manner

·	Ability to life 50+ Lbs

·	Able to work with others and instruct others to assist in pickup and deliveries

·	Health and Safety awareness

·	Operate moving equipment safely

·	Moving skills

·	Provide exceptional customer service
", Mission Thrift Store Orleans," Jun 30, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?search_params=meta_interests%2523_set_1=COVID-19%2BVirtual%2BVolunteering%26meta_clientele%2523_set_0%26meta_language%2523_set_0%26meta_interests%2523_set_2=COVID-19%2BLight%2BTouch%2BVolunteering%26meta_volunteer_time_commitment%2523_set_0%26meta_position_target_audience%2523_set_0%26section_id=1%26meta_availability%2523_set_0%26meta_org_category%2523_set_0%26meta_location%2523_set_0%26_keyword%26type=volunteer_opportunity%26log=do_search_form%26meta_interests%2523_set_3=COVID-19%2BHigh%2BTouch%2BVolunteering%26meta_interests%2523_set_0&meta_language%23_set_0&log_id=42700&meta_position_target_audience%23_set_0&meta_org_category%23_set_0&log=view&meta_interests%23_set_3=COVID-19+High+Touch+Volunteering&meta_interests%23_set_0&meta_interests%23_set_1=COVID-19+Virtual+Volunteering&meta_clientele%23_set_0&meta_interests%23_set_2=COVID-19+Light+Touch+Volunteering&meta_volunteer_time_commitment%23_set_0&section_id=1&meta_availability%23_set_0&meta_location%23_set_0&_keyword&type=volunteer_opportunity
Online French Homework and Tutoring Club through September 1, online via Zoom ,"Canadian Parents for French is looking for volunteers to act as online French tutors for children enrolled in our pilot program. Tutors will help children by speaking in French and working to improve the child's French in conversation, reading, and writing. Volunteers must be comfortable working with young kids and in both French and English


Application to volunteer : https://form.jotform.com/201173726906253


Must be okay with using zoom via computer with headphone and webcam. 

Will tutor 2-3 hours per week with kids ages 6-14. ", Canadian Parents for French," Jul 10, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?search_params=meta_interests%2523_set_1=COVID-19%2BVirtual%2BVolunteering%26meta_clientele%2523_set_0%26meta_language%2523_set_0%26meta_interests%2523_set_2=COVID-19%2BLight%2BTouch%2BVolunteering%26meta_volunteer_time_commitment%2523_set_0%26meta_position_target_audience%2523_set_0%26section_id=1%26meta_availability%2523_set_0%26meta_org_category%2523_set_0%26meta_location%2523_set_0%26_keyword%26type=volunteer_opportunity%26log=do_search_form%26meta_interests%2523_set_3=COVID-19%2BHigh%2BTouch%2BVolunteering%26meta_interests%2523_set_0&meta_language%23_set_0&log_id=42250&meta_position_target_audience%23_set_0&meta_org_category%23_set_0&log=view&meta_interests%23_set_3=COVID-19+High+Touch+Volunteering&meta_interests%23_set_0&meta_interests%23_set_1=COVID-19+Virtual+Volunteering&meta_clientele%23_set_0&meta_interests%23_set_2=COVID-19+Light+Touch+Volunteering&meta_volunteer_time_commitment%23_set_0&section_id=1&meta_availability%23_set_0&meta_location%23_set_0&_keyword&type=volunteer_opportunity
Distress Centre Volunteer, Confidential.  Located within the Ottawa area. Accessible by OC Transpo or personal vehicle with parking.,"The Distress Centre of Ottawa & Region provides a free and confidential telephone service offering suicide prevention, crisis intervention, psychological stabilization, emotional support, information and referrals to individuals of all ages.  We help people in varying degrees of distress or crisis who are experiencing a wide range of problems including suicidal thoughts, abuse or violence, mental or physical illness, bereavement, addictions, sexuality and interpersonal problems, youth-related issues, unemployment and more.  Our volunteer Crisis Line Responders are trained in active listening techniques, communication skills, crisis intervention and suicide prevention techniques.  They help our clients assess their own situations, to establish goals and priorities, and they can link the callers to appropriate resources in the community if needed. 


If interested, please visit www.dcottawa.on.ca to fill out an application!", Distress Centre of Ottawa and Region," Jul 31, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?search_params=meta_interests%2523_set_1=COVID-19%2BVirtual%2BVolunteering%26meta_clientele%2523_set_0%26meta_language%2523_set_0%26meta_interests%2523_set_2=COVID-19%2BLight%2BTouch%2BVolunteering%26meta_volunteer_time_commitment%2523_set_0%26meta_position_target_audience%2523_set_0%26section_id=1%26meta_availability%2523_set_0%26meta_org_category%2523_set_0%26meta_location%2523_set_0%26_keyword%26type=volunteer_opportunity%26log=do_search_form%26meta_interests%2523_set_3=COVID-19%2BHigh%2BTouch%2BVolunteering%26meta_interests%2523_set_0&meta_language%23_set_0&log_id=42073&meta_position_target_audience%23_set_0&meta_org_category%23_set_0&log=view&meta_interests%23_set_3=COVID-19+High+Touch+Volunteering&meta_interests%23_set_0&meta_interests%23_set_1=COVID-19+Virtual+Volunteering&meta_clientele%23_set_0&meta_interests%23_set_2=COVID-19+Light+Touch+Volunteering&meta_volunteer_time_commitment%23_set_0&section_id=1&meta_availability%23_set_0&meta_location%23_set_0&_keyword&type=volunteer_opportunity
Virtual Tech Mentor - Cyber Seniors, virtual - national organization,"Cyber-Seniors is an intergenerational program that trains young people to be tech mentors for senior citizens. The ability to use online communication applications to stay connected is vital for older adults and other vulnerable people. Helping a senior learn to use transactional websites to order groceries, pharmaceuticals, food delivery, etc., will make a big difference in allowing them to remain self-sufficient from the safety of their home. In the best of times, digital literacy can be life-altering; in times like these, it can be life-saving.


Step 1: Get a FREE membership to the Cyber-Seniors Mentor Training program (6 online training videos and quizzes) at cyberseniors.org/student-membership

Step 2: Sign-up to help seniors to learn tech.


Also, please help us by letting any Seniors you know that they can:

• register online for a group session or one-on-one tech-support by visiting our website at www.cyberseniors.org; or

• access the over 1200 training tutorials (soon available in Spanish and French) and the Cyber-Seniors discussion forum by calling us at 1-844-217-3057 to register.


To register, please go directly to the Cyber Seniors website to sign-on to be a mentor:  https://cyberseniors.org/student-membership/.



", Volunteer Ottawa," Jun 30, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?search_params=meta_interests%2523_set_1=COVID-19%2BVirtual%2BVolunteering%26meta_clientele%2523_set_0%26meta_language%2523_set_0%26meta_interests%2523_set_2=COVID-19%2BLight%2BTouch%2BVolunteering%26meta_volunteer_time_commitment%2523_set_0%26meta_position_target_audience%2523_set_0%26section_id=1%26meta_availability%2523_set_0%26meta_org_category%2523_set_0%26meta_location%2523_set_0%26_keyword%26type=volunteer_opportunity%26log=do_search_form%26meta_interests%2523_set_3=COVID-19%2BHigh%2BTouch%2BVolunteering%26meta_interests%2523_set_0&meta_language%23_set_0&log_id=42044&meta_position_target_audience%23_set_0&meta_org_category%23_set_0&log=view&meta_interests%23_set_3=COVID-19+High+Touch+Volunteering&meta_interests%23_set_0&meta_interests%23_set_1=COVID-19+Virtual+Volunteering&meta_clientele%23_set_0&meta_interests%23_set_2=COVID-19+Light+Touch+Volunteering&meta_volunteer_time_commitment%23_set_0&section_id=1&meta_availability%23_set_0&meta_location%23_set_0&_keyword&type=volunteer_opportunity
